#code,score
1oyt_24,9.85
1oyt_401,9.28
1oyt_405,9.28
1oyt_412,9.28
1oyt_414,9.28
1oyt_423,9.28
1oyt_425,9.85
1oyt_437,9.28
1oyt_448,9.28
1oyt_449,9.28
1oyt_451,9.28
1oyt_454,9.28
1oyt_455,9.28
1oyt_463,9.28
1oyt_468,9.28
1oyt_475,9.28
1oyt_477,9.28
1oyt_481,9.28
1oyt_484,9.28
1oyt_493,9.28
1oyt_505,9.28
1oyt_506,9.28
1oyt_507,9.28
1oyt_513,9.28
1oyt_521,9.28
1oyt_524,9.28
1oyt_527,9.28
1oyt_529,9.28
1oyt_530,10.7
1oyt_542,10.89
1oyt_551,9.28
1oyt_553,9.28
1oyt_558,9.28
1oyt_559,9.28
1oyt_561,9.7
1oyt_564,9.28
1oyt_569,10.7
1oyt_572,9.28
1oyt_575,9.28
1oyt_582,9.28
1oyt_586,9.28
1oyt_59,9.28
1oyt_599,9.28
1oyt_603,9.28
1oyt_612,9.28
1oyt_621,9.28
1oyt_623,9.28
1oyt_627,9.28
1oyt_637,9.28
1oyt_639,9.28
1oyt_64,9.28
1oyt_644,9.28
1oyt_647,9.28
1oyt_651,9.28
1oyt_658,9.28
1oyt_663,9.28
1oyt_674,9.85
1oyt_675,9.85
1oyt_679,9.28
1oyt_680,9.28
1oyt_684,9.28
1oyt_690,9.28
1oyt_691,9.85
1oyt_692,9.28
1oyt_696,9.28
1oyt_711,9.28
1oyt_749,9.28
1oyt_789,9.28
1oyt_800,9.28
1oyt_801,9.28
1oyt_806,9.28
1oyt_838,9.28
1oyt_842,9.7
1oyt_843,9.28
1oyt_853,9.28
1oyt_91,9.28
1oyt_915,9.28
1oyt_947,9.28
