#code,score
3ui7_133,9.41
3ui7_138,9.85
3ui7_151,9.85
3ui7_16,9.85
3ui7_208,9.41
3ui7_227,9.41
3ui7_240,9.85
3ui7_282,9.41
3ui7_287,9.41
3ui7_333,9.85
3ui7_335,9.85
3ui7_408,9.85
3ui7_424,9.85
3ui7_445,9.41
3ui7_459,9.41
3ui7_47,9.85
3ui7_471,9.85
3ui7_494,9.85
3ui7_533,9.85
3ui7_545,9.85
3ui7_552,9.85
3ui7_562,9.85
3ui7_565,9.85
3ui7_577,9.41
3ui7_578,9.85
3ui7_586,9.41
3ui7_606,9.85
3ui7_625,9.85
3ui7_630,9.85
3ui7_635,9.7
3ui7_638,9.85
3ui7_648,9.85
3ui7_651,9.85
3ui7_655,9.85
3ui7_659,9.85
3ui7_664,9.85
3ui7_673,9.85
3ui7_675,9.85
3ui7_683,9.41
3ui7_690,9.85
3ui7_696,9.85
3ui7_697,9.41
3ui7_703,9.85
3ui7_714,9.41
3ui7_718,9.85
3ui7_719,9.85
3ui7_721,9.85
3ui7_730,9.85
3ui7_732,9.85
3ui7_735,9.41
3ui7_753,9.85
3ui7_759,9.85
3ui7_760,9.85
3ui7_762,9.85
3ui7_767,9.85
3ui7_772,9.85
3ui7_774,9.41
3ui7_776,9.85
3ui7_782,9.85
3ui7_784,9.41
3ui7_786,9.41
3ui7_790,9.41
3ui7_795,9.85
3ui7_797,9.41
3ui7_818,9.85
3ui7_826,9.41
3ui7_840,9.85
3ui7_843,9.41
3ui7_859,9.85
3ui7_860,9.41
3ui7_861,9.85
3ui7_864,9.41
3ui7_877,9.85
3ui7_878,9.85
3ui7_883,9.85
3ui7_898,9.85
3ui7_90,9.85
3ui7_900,9.85
3ui7_907,9.85
3ui7_911,9.85
3ui7_922,9.85
3ui7_932,9.85
3ui7_933,9.85
3ui7_934,9.85
3ui7_942,9.85
3ui7_956,9.41
3ui7_970,9.41
3ui7_993,9.85
3ui7_995,9.85
