#code,score
3wtj_134,9.28
3wtj_157,9.28
3wtj_184,9.28
3wtj_222,9.28
3wtj_240,9.28
3wtj_258,9.28
3wtj_307,9.28
3wtj_328,9.28
3wtj_4,9.28
3wtj_404,9.28
3wtj_454,9.28
3wtj_467,9.28
3wtj_485,9.28
3wtj_500,9.28
3wtj_507,9.28
3wtj_542,9.28
3wtj_544,9.28
3wtj_547,9.28
3wtj_566,9.28
3wtj_572,9.28
3wtj_615,9.28
3wtj_628,9.28
3wtj_633,9.28
3wtj_640,9.28
3wtj_643,9.28
3wtj_648,9.28
3wtj_653,9.28
3wtj_659,9.28
3wtj_660,9.28
3wtj_663,9.28
3wtj_674,9.28
3wtj_678,9.28
3wtj_682,9.7
3wtj_683,9.28
3wtj_686,9.28
3wtj_688,9.28
3wtj_689,9.28
3wtj_696,9.28
3wtj_698,9.28
3wtj_740,9.28
3wtj_746,9.28
3wtj_755,9.28
3wtj_756,10.7
3wtj_759,9.28
3wtj_762,9.28
3wtj_764,9.28
3wtj_766,9.28
3wtj_767,9.28
3wtj_768,9.28
3wtj_770,9.28
3wtj_771,9.28
3wtj_774,9.28
3wtj_779,9.28
3wtj_780,9.28
3wtj_781,9.28
3wtj_783,9.28
3wtj_785,9.7
3wtj_962,9.28
3wtj_976,9.28
3wtj_979,9.28
