#code,score
4jxs_129,9.28
4jxs_147,9.28
4jxs_153,9.28
4jxs_196,9.28
4jxs_2,9.28
4jxs_203,9.28
4jxs_205,9.28
4jxs_218,9.28
4jxs_223,9.28
4jxs_227,9.28
4jxs_232,9.28
4jxs_236,9.28
4jxs_238,9.28
4jxs_243,9.28
4jxs_244,9.28
4jxs_246,9.28
4jxs_257,9.28
4jxs_258,9.28
4jxs_260,9.28
4jxs_262,9.28
4jxs_264,9.28
4jxs_275,9.28
4jxs_278,9.28
4jxs_295,9.28
4jxs_296,9.28
4jxs_306,9.28
4jxs_31,9.28
4jxs_311,9.28
4jxs_322,9.28
4jxs_334,9.28
4jxs_348,9.28
4jxs_352,9.28
4jxs_356,9.28
4jxs_401,9.28
4jxs_407,9.28
4jxs_410,9.28
4jxs_411,9.28
4jxs_414,9.28
4jxs_427,9.28
4jxs_434,9.28
4jxs_444,9.28
4jxs_452,9.28
4jxs_455,9.28
4jxs_464,9.28
4jxs_466,9.28
4jxs_47,9.28
4jxs_485,9.28
4jxs_490,9.28
4jxs_503,9.28
4jxs_509,9.28
4jxs_513,9.85
4jxs_517,9.28
4jxs_520,9.28
4jxs_523,9.28
4jxs_543,9.28
4jxs_546,9.28
4jxs_55,9.28
4jxs_556,9.28
4jxs_56,9.28
4jxs_563,9.28
4jxs_573,9.28
4jxs_578,9.28
4jxs_579,9.28
4jxs_580,9.28
4jxs_581,9.28
4jxs_585,9.28
4jxs_588,9.28
4jxs_595,9.28
4jxs_598,9.28
4jxs_599,9.28
4jxs_628,9.28
4jxs_648,9.28
4jxs_654,9.28
4jxs_664,9.28
4jxs_669,9.28
4jxs_672,9.28
4jxs_679,9.28
4jxs_684,9.28
4jxs_688,9.28
4jxs_696,9.28
4jxs_698,9.28
4jxs_701,9.28
4jxs_702,9.28
4jxs_707,9.28
4jxs_712,9.28
4jxs_713,9.28
4jxs_714,9.28
4jxs_719,9.28
4jxs_72,9.28
4jxs_725,9.28
4jxs_750,9.28
4jxs_76,9.28
4jxs_764,9.28
4jxs_766,9.28
4jxs_768,9.28
4jxs_770,9.28
4jxs_78,9.28
4jxs_85,9.28
4jxs_9,9.28
4jxs_979,9.28
