#code,score
1ydt_1000,105.0
1ydt_121,105.0
1ydt_204,105.0
1ydt_207,105.0
1ydt_214,105.0
1ydt_215,105.0
1ydt_241,105.0
1ydt_246,105.0
1ydt_251,105.0
1ydt_253,105.0
1ydt_254,105.0
1ydt_260,105.0
1ydt_263,105.0
1ydt_267,105.0
1ydt_271,105.0
1ydt_275,105.0
1ydt_277,105.0
1ydt_278,105.0
1ydt_279,105.0
1ydt_281,105.0
1ydt_283,105.0
1ydt_300,105.0
1ydt_309,105.0
1ydt_324,105.0
1ydt_34,105.0
1ydt_386,105.0
1ydt_40,105.0
1ydt_401,105.0
1ydt_404,105.0
1ydt_408,105.0
1ydt_412,105.0
1ydt_417,105.0
1ydt_425,105.0
1ydt_432,105.0
1ydt_446,105.0
1ydt_46,105.0
1ydt_464,105.0
1ydt_47,105.0
1ydt_470,105.0
1ydt_474,105.0
1ydt_483,105.0
1ydt_487,105.0
1ydt_494,105.0
1ydt_495,105.0
1ydt_500,105.0
1ydt_532,105.0
1ydt_538,105.0
1ydt_539,105.0
1ydt_549,105.0
1ydt_556,105.0
1ydt_558,105.0
1ydt_564,105.0
1ydt_576,105.0
1ydt_578,105.0
1ydt_609,105.0
1ydt_625,105.0
1ydt_632,105.0
1ydt_643,105.0
1ydt_644,105.0
1ydt_655,105.0
1ydt_659,105.0
1ydt_677,105.0
1ydt_678,105.0
1ydt_684,105.0
1ydt_694,105.0
1ydt_697,105.0
1ydt_705,105.0
1ydt_709,105.0
1ydt_711,105.0
1ydt_715,105.0
1ydt_730,105.0
1ydt_75,105.0
1ydt_750,105.0
1ydt_766,105.0
1ydt_775,105.0
1ydt_785,105.0
1ydt_787,105.0
1ydt_817,105.0
1ydt_818,105.0
1ydt_832,105.0
1ydt_837,105.0
1ydt_840,105.0
1ydt_882,105.0
1ydt_892,105.0
1ydt_916,105.0
1ydt_918,105.0
1ydt_926,105.0
1ydt_936,105.0
1ydt_953,105.0
1ydt_994,105.0
