#code,score
2wer_112,600.0
2wer_123,600.0
2wer_170,600.0
2wer_177,600.0
2wer_337,600.0
2wer_345,600.0
2wer_390,600.0
2wer_403,21.0
2wer_404,21.0
2wer_414,21.0
2wer_419,21.0
2wer_422,600.0
2wer_424,600.0
2wer_426,21.0
2wer_437,21.0
2wer_439,21.0
2wer_441,21.0
2wer_442,600.0
2wer_445,21.0
2wer_447,21.0
2wer_459,21.0
2wer_460,21.0
2wer_463,600.0
2wer_473,110.0
2wer_478,110.0
2wer_479,110.0
2wer_485,20000.0
2wer_486,21.0
2wer_489,21.0
2wer_557,600.0
2wer_57,600.0
2wer_570,20000.0
2wer_580,20000.0
2wer_581,21.0
2wer_589,20000.0
2wer_596,20000.0
2wer_646,600.0
2wer_658,600.0
2wer_663,600.0
2wer_669,20000.0
2wer_676,21.0
2wer_678,21.0
2wer_688,21.0
2wer_697,600.0
2wer_719,600.0
2wer_728,600.0
2wer_73,600.0
2wer_737,600.0
2wer_739,600.0
2wer_740,600.0
2wer_743,600.0
2wer_745,600.0
2wer_751,600.0
2wer_752,600.0
2wer_759,600.0
2wer_763,600.0
2wer_764,20000.0
2wer_765,600.0
2wer_767,600.0
2wer_768,600.0
2wer_769,600.0
2wer_773,20000.0
2wer_774,20000.0
2wer_775,600.0
2wer_777,600.0
2wer_779,600.0
2wer_790,600.0
2wer_792,600.0
2wer_810,600.0
2wer_812,600.0
2wer_838,600.0
2wer_853,600.0
2wer_858,600.0
2wer_866,600.0
2wer_88,600.0
2wer_888,20000.0
2wer_899,600.0
2wer_920,20000.0
2wer_934,600.0
2wer_935,20000.0
2wer_941,20000.0
2wer_944,600.0
2wer_952,20000.0
2wer_957,600.0
