#code,score
2yge_198,2.3
2yge_22,2.3
2yge_252,952.0
2yge_267,2.3
2yge_269,2.3
2yge_35,2.3
2yge_402,4800000.0
2yge_408,4800000.0
2yge_410,4800000.0
2yge_425,4800000.0
2yge_437,2.3
2yge_439,2.3
2yge_447,4800000.0
2yge_467,4800000.0
2yge_472,4800000.0
2yge_476,4800000.0
2yge_539,4800000.0
2yge_543,4800000.0
2yge_559,4800000.0
2yge_565,4800000.0
2yge_579,4800000.0
2yge_580,4800000.0
2yge_586,2.3
2yge_627,4800000.0
2yge_629,14600.0
2yge_646,4800000.0
2yge_659,952.0
2yge_664,952.0
2yge_669,14600.0
2yge_679,952.0
2yge_686,952.0
2yge_687,952.0
2yge_697,14600.0
2yge_705,2.3
2yge_713,2.3
2yge_721,2.3
2yge_730,2.3
2yge_74,2.3
2yge_748,2.3
2yge_753,2.3
2yge_758,952.0
2yge_760,2.3
2yge_761,2.3
2yge_766,2.3
2yge_768,952.0
2yge_769,952.0
2yge_770,2.3
2yge_772,2.3
2yge_773,2.3
2yge_778,2.3
2yge_781,952.0
2yge_784,2.3
2yge_786,14600.0
2yge_787,952.0
2yge_792,2.3
2yge_798,4800000.0
2yge_842,2.3
2yge_882,2.3
2yge_892,952.0
2yge_966,2.3
2yge_985,2.3
