#code,score
3e92_106,600.0
3e92_17,600.0
3e92_19,600.0
3e92_332,600.0
3e92_407,600.0
3e92_418,600.0
3e92_423,19000.0
3e92_425,600.0
3e92_434,600.0
3e92_435,19000.0
3e92_436,19000.0
3e92_438,21.0
3e92_446,19000.0
3e92_449,21.0
3e92_450,600.0
3e92_453,21.0
3e92_470,21.0
3e92_471,330.0
3e92_475,21.0
3e92_482,600.0
3e92_490,21.0
3e92_493,600.0
3e92_497,600.0
3e92_498,600.0
3e92_500,21.0
3e92_506,600.0
3e92_513,600.0
3e92_518,600.0
3e92_523,600.0
3e92_525,600.0
3e92_526,600.0
3e92_528,600.0
3e92_534,600.0
3e92_538,21.0
3e92_540,600.0
3e92_541,600.0
3e92_542,600.0
3e92_544,600.0
3e92_545,600.0
3e92_546,21.0
3e92_547,600.0
3e92_551,21.0
3e92_552,600.0
3e92_553,600.0
3e92_554,21.0
3e92_555,600.0
3e92_557,21.0
3e92_560,600.0
3e92_562,600.0
3e92_578,21.0
3e92_579,21.0
3e92_581,600.0
3e92_582,600.0
3e92_588,600.0
3e92_589,21.0
3e92_590,21.0
3e92_593,21.0
3e92_594,600.0
3e92_596,21.0
3e92_597,600.0
3e92_598,21.0
3e92_599,600.0
3e92_623,600.0
3e92_625,600.0
3e92_627,600.0
3e92_64,600.0
3e92_656,21.0
3e92_664,600.0
3e92_669,21.0
3e92_670,600.0
3e92_678,600.0
3e92_679,600.0
3e92_685,600.0
3e92_689,600.0
3e92_692,21.0
3e92_693,330.0
3e92_697,19000.0
3e92_698,10000.0
3e92_732,600.0
3e92_733,600.0
3e92_735,600.0
3e92_745,600.0
3e92_752,600.0
3e92_758,600.0
3e92_760,600.0
3e92_845,600.0
3e92_846,600.0
3e92_847,600.0
3e92_907,600.0
3e92_940,600.0
