#code,score
3g2z_1001,15.0
3g2z_1002,15.0
3g2z_1003,15.0
3g2z_1004,15.0
3g2z_1005,15.0
3g2z_1006,15.0
3g2z_1007,15.0
3g2z_1008,15.0
3g2z_1009,15.0
3g2z_1010,15.0
3g2z_1011,15.0
3g2z_1012,15.0
3g2z_132,15.0
3g2z_152,55.2
3g2z_166,14600.0
3g2z_189,55.2
3g2z_194,55.2
3g2z_332,55.2
3g2z_42,55.2
3g2z_443,55.2
3g2z_490,15.0
3g2z_506,15.0
3g2z_517,15.0
3g2z_525,15.0
3g2z_526,15.0
3g2z_528,55.2
3g2z_534,55.2
3g2z_535,55.2
3g2z_559,55.2
3g2z_568,15.0
3g2z_569,14600.0
3g2z_578,15.0
3g2z_587,55.2
3g2z_588,55.2
3g2z_603,15.0
3g2z_610,15.0
3g2z_616,55.2
3g2z_626,14600.0
3g2z_631,15.0
3g2z_632,55.2
3g2z_656,15.0
3g2z_663,15.0
3g2z_668,55.2
3g2z_683,55.2
3g2z_687,15.0
3g2z_706,55.2
3g2z_745,14600.0
3g2z_748,55.2
3g2z_755,55.2
3g2z_763,55.2
3g2z_776,55.2
3g2z_779,14600.0
3g2z_790,15.0
3g2z_792,0.4
3g2z_818,55.2
3g2z_909,55.2
3g2z_915,55.2
3g2z_933,55.2
3g2z_940,0.4
3g2z_975,14600.0
