#code,score
3jvr_137,600.0
3jvr_154,110.0
3jvr_162,600.0
3jvr_168,20000.0
3jvr_171,20000.0
3jvr_187,20000.0
3jvr_195,600.0
3jvr_210,2.3
3jvr_225,2.3
3jvr_229,2.3
3jvr_246,600.0
3jvr_275,2.3
3jvr_290,2.3
3jvr_297,2.3
3jvr_329,2.3
3jvr_330,600.0
3jvr_332,2.3
3jvr_34,2.3
3jvr_349,2.3
3jvr_355,2.3
3jvr_394,2.3
3jvr_404,110.0
3jvr_435,2.3
3jvr_441,21.0
3jvr_444,2.3
3jvr_446,110.0
3jvr_451,110.0
3jvr_452,110.0
3jvr_457,21.0
3jvr_459,110.0
3jvr_464,110.0
3jvr_468,2.3
3jvr_470,21.0
3jvr_471,600.0
3jvr_478,2.3
3jvr_484,110.0
3jvr_486,21.0
3jvr_500,2.3
3jvr_505,2.3
3jvr_509,20000.0
3jvr_515,2.3
3jvr_523,600.0
3jvr_550,2.3
3jvr_554,2.3
3jvr_562,600.0
3jvr_567,2.3
3jvr_579,110.0
3jvr_580,21.0
3jvr_589,110.0
3jvr_590,2.3
3jvr_592,2.3
3jvr_596,2.3
3jvr_600,2.3
3jvr_603,110.0
3jvr_604,21.0
3jvr_610,2.3
3jvr_623,110.0
3jvr_627,110.0
3jvr_647,20000.0
3jvr_650,21.0
3jvr_662,21.0
3jvr_673,21.0
3jvr_688,110.0
3jvr_689,2.3
3jvr_697,2.3
3jvr_699,2.3
3jvr_703,2.3
3jvr_716,2.3
3jvr_726,2.3
3jvr_732,2.3
3jvr_739,2.3
3jvr_740,2.3
3jvr_742,2.3
3jvr_750,600.0
3jvr_752,2.3
3jvr_755,2.3
3jvr_782,2.3
3jvr_79,2.3
3jvr_8,600.0
3jvr_814,2.3
3jvr_819,2.3
3jvr_82,2.3
3jvr_822,2.3
3jvr_826,600.0
3jvr_827,2.3
3jvr_828,2.3
3jvr_831,600.0
3jvr_836,2.3
3jvr_870,2.3
3jvr_884,2.3
3jvr_890,2.3
3jvr_893,2.3
3jvr_923,2.3
3jvr_932,2.3
3jvr_99,600.0
