#code,score
3nq9_103,952.0
3nq9_112,952.0
3nq9_117,952.0
3nq9_134,952.0
3nq9_140,952.0
3nq9_148,952.0
3nq9_158,952.0
3nq9_176,952.0
3nq9_180,952.0
3nq9_221,952.0
3nq9_235,952.0
3nq9_236,952.0
3nq9_246,952.0
3nq9_25,952.0
3nq9_259,952.0
3nq9_270,952.0
3nq9_273,952.0
3nq9_282,952.0
3nq9_298,952.0
3nq9_310,952.0
3nq9_311,952.0
3nq9_330,952.0
3nq9_338,952.0
3nq9_35,952.0
3nq9_352,952.0
3nq9_358,952.0
3nq9_36,952.0
3nq9_382,952.0
3nq9_386,952.0
3nq9_389,952.0
3nq9_401,952.0
3nq9_410,952.0
3nq9_412,952.0
3nq9_413,952.0
3nq9_415,952.0
3nq9_420,952.0
3nq9_470,952.0
3nq9_472,952.0
3nq9_473,952.0
3nq9_474,952.0
3nq9_492,952.0
3nq9_507,952.0
3nq9_513,952.0
3nq9_526,952.0
3nq9_528,952.0
3nq9_550,952.0
3nq9_553,952.0
3nq9_556,952.0
3nq9_560,952.0
3nq9_568,952.0
3nq9_574,952.0
3nq9_605,952.0
3nq9_610,952.0
3nq9_620,952.0
3nq9_626,952.0
3nq9_639,952.0
3nq9_64,952.0
3nq9_651,952.0
3nq9_662,952.0
3nq9_664,952.0
3nq9_671,952.0
3nq9_685,952.0
3nq9_696,952.0
3nq9_700,952.0
3nq9_703,952.0
3nq9_706,952.0
3nq9_726,952.0
3nq9_770,952.0
3nq9_781,952.0
3nq9_784,952.0
3nq9_785,952.0
3nq9_801,952.0
3nq9_805,952.0
3nq9_83,952.0
3nq9_837,952.0
3nq9_869,952.0
3nq9_894,952.0
3nq9_899,952.0
3nq9_905,952.0
3nq9_916,952.0
3nq9_92,952.0
3nq9_948,952.0
3nq9_96,952.0
3nq9_97,952.0
3nq9_977,952.0
3nq9_981,952.0
