#code,score
2p15_133,-38.62580472701045
2p15_155,-10.824067885423052
2p15_216,-38.62580472701045
2p15_262,-38.62580472701045
2p15_290,-38.62580472701045
2p15_331,-38.62580472701045
2p15_344,-38.62580472701045
2p15_402,-38.62580472701045
2p15_404,-38.62580472701045
2p15_407,-10.824067885423052
2p15_414,-10.824067885423052
2p15_415,-10.824067885423052
2p15_425,-10.824067885423052
2p15_427,-19.077603672797927
2p15_435,-10.824067885423052
2p15_437,-19.077603672797927
2p15_446,-10.824067885423052
2p15_453,-10.824067885423052
2p15_456,-10.824067885423052
2p15_460,-10.824067885423052
2p15_466,-10.824067885423052
2p15_471,-19.077603672797927
2p15_478,-10.824067885423052
2p15_479,-19.077603672797927
2p15_480,-19.077603672797927
2p15_481,-19.077603672797927
2p15_489,-19.077603672797927
2p15_493,-19.077603672797927
2p15_496,-19.077603672797927
2p15_546,-19.077603672797927
2p15_550,-10.824067885423052
2p15_557,-19.077603672797927
2p15_567,-10.824067885423052
2p15_568,-10.824067885423052
2p15_569,-10.824067885423052
2p15_578,-10.824067885423052
2p15_579,-19.077603672797927
2p15_582,-19.077603672797927
2p15_589,-19.077603672797927
2p15_590,-19.077603672797927
2p15_591,-10.824067885423052
2p15_592,-19.077603672797927
2p15_598,-10.824067885423052
2p15_600,-19.077603672797927
2p15_645,-10.824067885423052
2p15_678,-10.824067885423052
2p15_687,-16.288707907812995
2p15_699,-19.077603672797927
2p15_700,-19.077603672797927
2p15_765,-10.824067885423052
2p15_801,-38.62580472701045
2p15_850,-38.62580472701045
2p15_87,-38.62580472701045
