#code,score
2xj7_118,-10.824067885423052
2xj7_131,-10.824067885423052
2xj7_161,-10.824067885423052
2xj7_254,-10.824067885423052
2xj7_401,-10.824067885423052
2xj7_404,-16.758612549000325
2xj7_405,-10.824067885423052
2xj7_406,-10.824067885423052
2xj7_407,-10.824067885423052
2xj7_409,-27.64060062472512
2xj7_415,-38.62580472701045
2xj7_421,-27.64060062472512
2xj7_455,-10.824067885423052
2xj7_58,-10.824067885423052
2xj7_648,-10.824067885423052
2xj7_652,-10.824067885423052
2xj7_658,-27.64060062472512
2xj7_726,-10.824067885423052
2xj7_735,-10.824067885423052
2xj7_736,-10.824067885423052
2xj7_755,-10.824067885423052
2xj7_756,-10.824067885423052
2xj7_758,-10.824067885423052
2xj7_759,-10.824067885423052
2xj7_761,-10.824067885423052
2xj7_763,-10.824067885423052
2xj7_766,-10.824067885423052
2xj7_769,-38.62580472701045
2xj7_773,-10.824067885423052
2xj7_775,-10.824067885423052
2xj7_777,-10.824067885423052
2xj7_778,-10.824067885423052
2xj7_780,-10.824067885423052
2xj7_781,-10.824067885423052
2xj7_782,-38.62580472701045
2xj7_784,-10.824067885423052
2xj7_786,-10.824067885423052
2xj7_796,-10.824067885423052
2xj7_812,-10.824067885423052
2xj7_839,-10.824067885423052
2xj7_871,-10.824067885423052
2xj7_880,-10.824067885423052
2xj7_888,-10.824067885423052
2xj7_914,-10.824067885423052
2xj7_954,-10.824067885423052
