#code,score
2xii_108,5.24
2xii_131,5.24
2xii_137,5.24
2xii_146,5.24
2xii_151,5.24
2xii_185,5.24
2xii_199,5.24
2xii_237,5.24
2xii_238,5.24
2xii_252,5.24
2xii_253,5.24
2xii_293,5.24
2xii_355,5.24
2xii_397,5.24
2xii_401,5.24
2xii_402,5.24
2xii_406,5.24
2xii_407,5.24
2xii_409,5.24
2xii_413,5.24
2xii_414,5.24
2xii_415,5.24
2xii_417,5.24
2xii_419,5.24
2xii_426,5.24
2xii_427,5.24
2xii_429,5.24
2xii_435,5.24
2xii_436,5.24
2xii_438,5.24
2xii_445,5.24
2xii_451,5.24
2xii_452,5.24
2xii_456,5.24
2xii_459,5.24
2xii_464,5.24
2xii_467,5.24
2xii_468,5.24
2xii_469,5.24
2xii_470,5.24
2xii_471,5.24
2xii_49,5.24
2xii_492,5.24
2xii_494,5.24
2xii_496,5.24
2xii_497,5.24
2xii_513,5.24
2xii_525,5.24
2xii_528,5.24
2xii_535,5.24
2xii_542,5.24
2xii_547,5.24
2xii_550,5.24
2xii_552,5.24
2xii_554,5.24
2xii_558,5.24
2xii_561,5.24
2xii_564,5.24
2xii_567,5.24
2xii_570,5.24
2xii_576,5.24
2xii_584,5.24
2xii_586,5.24
2xii_593,5.24
2xii_594,5.24
2xii_621,5.24
2xii_637,5.24
2xii_641,5.24
2xii_661,5.24
2xii_665,5.24
2xii_674,5.24
2xii_683,5.24
2xii_688,5.24
2xii_69,5.24
2xii_696,5.24
2xii_705,5.24
2xii_715,5.24
2xii_729,5.24
2xii_757,5.24
2xii_760,5.24
2xii_762,5.24
2xii_763,5.24
2xii_765,5.24
2xii_822,5.24
2xii_84,5.24
2xii_968,5.24
2xii_97,5.24
