#code,score
3gbb_213,-1378303.753269278
3gbb_278,-1310112.763009774
3gbb_304,-1256232.4826202255
3gbb_317,-1290689.906561602
3gbb_405,-1304174.6448260932
3gbb_407,-1435708.8868393125
3gbb_418,-1742932.1174584245
3gbb_421,-1431076.0318565671
3gbb_427,-1281228.5658259687
3gbb_445,-1636758.1463786685
3gbb_449,-1465010.6864114916
3gbb_458,-1925291.1208403553
3gbb_460,-1477138.4389798362
3gbb_468,-1638789.1765527218
3gbb_473,-1676565.9833603292
3gbb_482,-1488068.494642558
3gbb_483,-1886608.1409445119
3gbb_489,-2379715.3312193872
3gbb_498,-1576422.5724955094
3gbb_503,-1467777.395268472
3gbb_509,-1551941.0606694543
3gbb_510,-1376624.2099137304
3gbb_512,-1481183.6143377223
3gbb_523,-1548230.1552603818
3gbb_559,-1952893.1022086884
3gbb_564,-1359951.430592842
3gbb_596,-1831076.1288571733
3gbb_616,-1392152.9756311858
3gbb_619,-2237680.2846977
3gbb_621,-1494250.7400363847
3gbb_625,-1281810.183277844
3gbb_627,-1857262.3831328233
3gbb_646,-2431970.3566780994
3gbb_648,-1665682.1758937535
3gbb_650,-1821446.2300535743
3gbb_655,-1561786.3215362162
3gbb_666,-1822734.202138651
3gbb_673,-1521220.8224522541
3gbb_678,-1711818.665910357
3gbb_683,-2025155.4929266223
3gbb_693,-1718513.35387702
3gbb_697,-1481786.6992642425
3gbb_715,-1409219.2275951942
3gbb_717,-1492116.6592951517
3gbb_728,-1384065.9971009793
3gbb_781,-1551822.0989496459
3gbb_783,-1414444.9039868214
3gbb_796,-1554327.7936033118
3gbb_814,-1326167.9126086559
3gbb_845,-1327836.2255742787
3gbb_893,-1361701.2797462172
