#code,score
4qd6_103,-1400706.884064801
4qd6_160,-1470350.6324344755
4qd6_167,-1517324.0062277236
4qd6_187,-1227093.4167705043
4qd6_207,-1578180.794933858
4qd6_219,-1750379.4197881867
4qd6_230,-1807502.1044895293
4qd6_265,-2207800.414455151
4qd6_268,-1373391.5685848137
4qd6_276,-1558857.9929293643
4qd6_290,-1674072.860279918
4qd6_294,-2136349.0790798524
4qd6_298,-1094797.8648896643
4qd6_302,-1557693.998149568
4qd6_312,-1501602.957395494
4qd6_339,-1515455.8862095866
4qd6_346,-1424707.8219366418
4qd6_347,-1569866.8288583858
4qd6_387,-1281138.3594293296
4qd6_390,-1378393.4954897624
4qd6_397,-1258892.7082948606
4qd6_408,-4593390.367838954
4qd6_414,-5008081.673526978
4qd6_428,-3380517.129712639
4qd6_429,-2637785.012203304
4qd6_44,-1402798.4551625862
4qd6_448,-2252185.8920480995
4qd6_449,-5819938.060123207
4qd6_460,-4695717.714945578
4qd6_465,-2640745.850296565
4qd6_471,-4189844.3044182127
4qd6_473,-3633426.404077619
4qd6_475,-3192446.400899835
4qd6_490,-1909112.2801087524
4qd6_501,-3853063.366404718
4qd6_507,-1440317.795782515
4qd6_511,-3063276.2486891295
4qd6_516,-3568132.945931543
4qd6_518,-2450012.217326032
4qd6_519,-1813825.7165790554
4qd6_520,-1811650.9784341443
4qd6_528,-2466653.149006368
4qd6_529,-717800.969750594
4qd6_540,-910606.3202751944
4qd6_547,-3096721.3413136364
4qd6_568,-2115660.2035027565
4qd6_573,-2109448.378556549
4qd6_574,-1596417.785996246
4qd6_578,-2441792.3822719585
4qd6_58,-1627619.745331667
4qd6_588,-1423108.2506405432
4qd6_593,-2595233.0309414417
4qd6_6,-1297536.3260292031
4qd6_612,-1545600.626282584
4qd6_614,-2237883.7814659863
4qd6_62,-1398239.8140024138
4qd6_621,-1946488.0391002959
4qd6_623,-2447748.6674748375
4qd6_639,-2077530.0872109802
4qd6_642,-2852543.873523625
4qd6_653,-2280520.3522982383
4qd6_671,-2324275.951241797
4qd6_673,-5007949.239628139
4qd6_674,-1615613.474807943
4qd6_675,-1669664.092296757
4qd6_678,-2236594.1189227994
4qd6_681,-1995074.095931024
4qd6_683,-1947866.934863808
4qd6_687,-5642554.004764445
4qd6_700,-1853717.998887811
4qd6_707,-1435998.9348437646
4qd6_708,-1455290.459957939
4qd6_709,-1387908.0784652606
4qd6_714,-1466702.2800423896
4qd6_737,-1346078.1274498564
4qd6_790,-1483543.2275512498
4qd6_82,-1368231.7897155634
4qd6_825,-1570444.2081553221
4qd6_835,-1441612.1088013009
4qd6_84,-1410179.4847299068
4qd6_847,-1386100.5806068329
4qd6_85,-1473084.0109416717
4qd6_925,-1622584.1125334045
4qd6_934,-1638930.0757694524
4qd6_939,-1628704.6991019798
4qd6_942,-1584273.6760782409
4qd6_948,-1562732.7796719107
4qd6_954,-1644312.2619759652
4qd6_958,-1646515.5457266306
4qd6_960,-1592286.5802975192
4qd6_971,-1585802.9924713532
4qd6_975,-1516087.990912484
4qd6_978,-1494358.2730622294
