#code,score
2xb8_133,-50181.96736789381
2xb8_268,-59423.06825423424
2xb8_28,-64599.31529629913
2xb8_282,-54694.269741034615
2xb8_285,-62399.09932611008
2xb8_35,-62474.27091002422
2xb8_408,25359.030130375122
2xb8_423,-12568.440124334324
2xb8_428,24377.0676494467
2xb8_433,11899.037865087499
2xb8_435,-30753.313853433443
2xb8_436,-41263.16585075845
2xb8_437,-24357.314616424643
2xb8_439,-15259.385286543518
2xb8_451,-19675.57299372123
2xb8_452,25542.662173908084
2xb8_459,4126.454597940552
2xb8_462,-17106.207149194088
2xb8_464,-18672.971719095658
2xb8_465,20096.829134126765
2xb8_473,-2228.423036661181
2xb8_478,46674.451995037365
2xb8_481,-25562.138881430743
2xb8_483,-7235.596259300495
2xb8_484,-9005.734608276223
2xb8_486,-34621.46682493294
2xb8_487,-13383.366035258157
2xb8_490,-15311.532752128449
2xb8_523,15140.379403143634
2xb8_525,12190.811867350494
2xb8_537,19192.35545052786
2xb8_542,26655.925444671007
2xb8_546,6433.366116202196
2xb8_556,-23149.94002220352
2xb8_558,3884.2458998351867
2xb8_560,23646.670513120655
2xb8_568,-1163.5270954093576
2xb8_572,-13111.337395934024
2xb8_573,-14214.091078134254
2xb8_574,48087.22841946662
2xb8_576,-23685.666440761866
2xb8_585,9733.114229552048
2xb8_587,-7970.188389148927
2xb8_590,1680.447892956574
2xb8_597,12461.14287632431
2xb8_616,31606.117205298546
2xb8_617,-19375.083004509826
2xb8_620,-5630.920387144914
2xb8_635,4170.461631212522
2xb8_647,-3584.6334235359027
2xb8_650,17702.90584967845
2xb8_657,27194.631899738033
2xb8_673,-7918.441609354966
2xb8_675,45067.73901141302
2xb8_676,26920.213214160045
2xb8_679,-2860.475314424548
2xb8_682,-16789.576279171233
2xb8_684,-21379.28258986665
2xb8_691,57197.234303813195
2xb8_695,22452.39125035815
2xb8_697,19073.020625795936
2xb8_735,-52726.94397274843
2xb8_760,-41412.59710380997
2xb8_761,-39534.52648857009
2xb8_765,-20022.67494294532
2xb8_767,-22877.369954662558
2xb8_768,-36907.707399404855
2xb8_775,-21849.327025810955
2xb8_776,-24510.3437577844
