#code,score
3arv_1,-38882.589450779386
3arv_116,-36215.722762409525
3arv_122,-43284.946075146814
3arv_184,-30324.593477442366
3arv_304,-24028.6195436641
3arv_324,-19914.467197619088
3arv_327,-25706.276693429085
3arv_336,-25875.063528770348
3arv_337,-25966.87655800597
3arv_345,-24269.758239819304
3arv_353,-24826.01323262477
3arv_355,-26126.446783202686
3arv_359,-23737.520955513726
3arv_367,-26795.047290054732
3arv_372,-22953.35833094576
3arv_373,-37053.116513525165
3arv_374,-26260.513464319156
3arv_386,-25359.246916724253
3arv_387,-22597.369005223998
3arv_470,-19402.6154928342
3arv_51,-24218.680905587826
3arv_515,-32072.992234786332
3arv_559,-24879.763949407235
3arv_56,-30903.913072024458
3arv_600,-23969.765036974888
3arv_708,1708.9665746362152
3arv_715,-1367.3236661975025
3arv_716,14122.482660576767
3arv_717,-4067.220747081308
3arv_719,4754.31960284782
3arv_720,4294.165115115473
3arv_721,5334.2492852645955
3arv_723,-5724.551893895892
3arv_749,17314.29964731651
3arv_750,9154.949372778232
3arv_752,20157.955722402465
3arv_771,12947.938467538377
3arv_774,19193.994529784402
3arv_801,-27798.571061857452
3arv_803,3730.16014814307
3arv_806,-15478.093103623818
3arv_807,-1259.8260664759873
3arv_810,-38340.5386567674
3arv_811,6254.8360729103515
3arv_812,-17537.658009631326
3arv_815,-11757.800759408077
3arv_816,-15936.058610753375
3arv_817,-32554.316377306328
3arv_818,-37641.21300523843
3arv_819,-18668.531800122786
3arv_820,-25734.363323604775
3arv_821,-7988.614209564868
3arv_824,-31244.4968853202
3arv_828,-30710.086019705297
3arv_837,-14380.323120688932
3arv_842,-905.4692428928684
3arv_843,-21272.076825163094
3arv_848,6965.971518300736
3arv_849,-5616.092288520536
3arv_850,-16070.14078416748
3arv_853,-13331.00271176303
3arv_855,23940.00387578934
3arv_856,-12914.779277135822
3arv_860,10762.277808873645
3arv_861,10647.68056046802
3arv_868,5839.398728798347
3arv_869,20096.578618861284
3arv_876,17896.22595024776
3arv_877,-25580.71267580091
3arv_879,14490.135220464326
3arv_880,-12050.707209921107
3arv_881,4338.224778061653
3arv_882,27217.035113672227
3arv_887,9386.964856429986
3arv_888,2294.2967189393094
3arv_889,17716.08174044527
3arv_897,27311.3669530117
3arv_898,11810.587159850904
3arv_900,19552.502305350095
3arv_908,-6712.625279409527
3arv_910,-13340.571285506012
3arv_912,-4196.463786544198
3arv_916,-8932.934727208245
3arv_924,-32591.674880401697
3arv_930,10741.517534300969
3arv_931,-24906.222908567783
3arv_943,-40873.35098940144
3arv_944,-7997.937558153972
3arv_951,-14461.653189434022
3arv_963,-10115.80676447066
3arv_966,8745.9172042949
3arv_968,-15399.900077607337
3arv_982,-19675.27161440176
3arv_995,-6683.252980100246
