#code,score
4cr9_217,-15667.02246182684
4cr9_232,-14881.909651249633
4cr9_254,-5214.524338270014
4cr9_264,-15894.289837380958
4cr9_271,-14171.077982775481
4cr9_280,-5714.94659292639
4cr9_286,-8255.386193251506
4cr9_307,-14346.283803935803
4cr9_358,-10809.697012737968
4cr9_359,-10084.560161355672
4cr9_408,9341.735134791532
4cr9_411,12912.616429858317
4cr9_423,35707.63805755021
4cr9_424,10122.385259222123
4cr9_431,-269.1804209158072
4cr9_434,72240.25079060822
4cr9_435,-6186.474425453489
4cr9_438,24583.477379048534
4cr9_480,-4096.364889186545
4cr9_492,18807.1739827928
4cr9_503,7128.315394902478
4cr9_534,10933.752505574179
4cr9_551,8552.343153706577
4cr9_559,12255.018881489123
4cr9_565,10767.458107366729
4cr9_575,816.4538222211268
4cr9_577,97139.33481859474
4cr9_580,12100.513003807253
4cr9_587,35855.00083433965
4cr9_589,8574.214840112501
4cr9_595,11371.570997553506
4cr9_630,24778.48864430582
4cr9_662,7167.902481059544
4cr9_666,13330.074042597334
4cr9_689,9885.877315167338
4cr9_690,20612.174364309365
4cr9_708,19689.88845344765
4cr9_710,4906.591963814673
4cr9_715,18966.77838181627
4cr9_717,19621.763231976824
4cr9_726,4873.738147085329
4cr9_730,24792.552060554313
4cr9_734,12927.379696198084
4cr9_741,21085.589251335234
4cr9_743,25541.09944706107
4cr9_746,27381.127634263048
4cr9_748,9750.054231286806
4cr9_750,26131.485590362354
4cr9_752,23759.642698906562
4cr9_754,23400.321050233513
4cr9_755,15375.7412482098
4cr9_758,19408.10255690222
4cr9_759,13578.940593741747
4cr9_762,24540.11667980773
4cr9_763,21331.143458716742
4cr9_766,18822.617429411992
4cr9_769,23415.099249873587
4cr9_779,24655.69424778885
4cr9_782,18611.35905498011
4cr9_783,26071.270324174562
4cr9_789,30354.86755617219
4cr9_790,26738.807904865247
4cr9_791,21838.135369798998
4cr9_792,32326.53201317308
4cr9_794,31739.974646370425
4cr9_795,32080.324606292965
4cr9_796,24217.373690250504
4cr9_797,29004.74163993229
4cr9_798,33119.764544312115
4cr9_799,36325.4721561199
4cr9_821,22832.768820421625
4cr9_822,6957.218130804416
4cr9_843,19763.986474332552
4cr9_849,3977.1660625610966
4cr9_855,23045.218867942975
4cr9_861,22519.132935032267
4cr9_864,21475.158674397622
4cr9_869,23837.17876645907
4cr9_874,26671.688552267693
4cr9_876,26861.039309951917
4cr9_881,26102.553816544238
4cr9_884,20404.997291344745
4cr9_885,23243.785502952465
4cr9_887,23893.33932127681
4cr9_891,17131.77066002434
4cr9_894,25672.747020779465
4cr9_897,25963.865312330483
4cr9_920,-3067.0069710582175
4cr9_933,19558.993886493317
4cr9_970,22065.486123564562
4cr9_984,15405.070653694427
