#code,score
4crc_100,-65642.02081268227
4crc_106,-51507.508074462865
4crc_120,-34379.73197988339
4crc_126,-41490.516493829855
4crc_131,-78980.31528075835
4crc_132,-58291.803523092545
4crc_138,-58245.191982503355
4crc_140,-50058.789225367305
4crc_149,-70338.38355716586
4crc_164,-81780.54880713945
4crc_168,-80947.19930402632
4crc_175,-36475.34478759805
4crc_185,-78123.80845892814
4crc_192,-68436.38018155412
4crc_212,-84080.31253343841
4crc_215,-84280.63667387428
4crc_217,-86593.4847580363
4crc_263,-69343.9500651307
4crc_291,-79405.03511609888
4crc_314,-87032.801151102
4crc_323,-24928.539166021408
4crc_368,-80510.82533875748
4crc_391,-54516.22298643927
4crc_401,362055.4863492984
4crc_411,486358.2324179596
4crc_412,3444.240923673846
4crc_417,-43427.021797501904
4crc_423,164706.32856149867
4crc_426,20870.981760565996
4crc_443,211347.54416704288
4crc_447,230586.03799614057
4crc_464,136476.91707982274
4crc_475,98687.48284338662
4crc_480,583729.0360184576
4crc_481,270284.98133724614
4crc_485,-51875.65478175084
4crc_486,162146.80053723912
4crc_493,308165.1857942251
4crc_505,87546.95795366372
4crc_509,97609.09744715298
4crc_511,-69848.78395969338
4crc_517,-55260.78707385255
4crc_528,-4357.019533683888
4crc_533,107340.27311248246
4crc_537,-8334.83438529059
4crc_538,-9485.267481927338
4crc_542,74815.05689014232
4crc_544,50527.2770167407
4crc_549,29251.365561041293
4crc_557,39379.64322914729
4crc_560,21603.22171985814
4crc_561,-9.244970238767564
4crc_564,-12044.891741884145
4crc_569,-43666.01146589956
4crc_571,24779.775513289074
4crc_574,-23400.248369166715
4crc_575,-15286.249830475019
4crc_586,-9724.168322473917
4crc_588,18249.83129868969
4crc_590,195519.92041778786
4crc_591,6580.2322310660165
4crc_592,-19119.399575167903
4crc_597,41384.488219169565
4crc_618,-14272.96397197822
4crc_620,-2075.7085375695606
4crc_626,-15902.959420947518
4crc_627,77010.10346697182
4crc_633,58026.962600818326
4crc_636,7147.914084470336
4crc_644,-31468.714033975542
4crc_646,-1168.6503108071265
4crc_648,-56397.48935622124
4crc_649,29376.664959275422
4crc_656,-19082.678607815353
4crc_661,13683.162156342325
4crc_665,89875.77249141962
4crc_673,304186.4864682669
4crc_680,16710.267708465217
4crc_682,-10685.969401409093
4crc_685,142740.6575589007
4crc_694,-33918.697608629154
4crc_716,-51548.98636478273
4crc_717,-65502.573453258796
4crc_724,-54178.13064878511
4crc_734,-60579.47286129229
4crc_743,-62804.09679342173
4crc_758,-46663.28954262621
4crc_770,-51741.560197095285
4crc_821,-63674.45455595704
4crc_840,-73789.78767495613
4crc_968,-64555.01670215769
4crc_99,-76779.71515250424
