#code,score
3ao4_102,-3366985.5129514392
3ao4_115,-4474537.2983873775
3ao4_117,-4030004.9679129147
3ao4_118,-1781266.1013905196
3ao4_165,-4430441.045689809
3ao4_174,-1800385.6260065371
3ao4_195,-4645228.745442185
3ao4_200,-4790226.960255018
3ao4_281,-5044591.416718135
3ao4_350,-4823777.492751185
3ao4_385,-4407767.152143966
3ao4_420,-5371686.634221826
3ao4_428,-4115813.2950822967
3ao4_438,-5151390.822400491
3ao4_440,-3929884.06824579
3ao4_443,-6367131.134705802
3ao4_446,-5728671.281493392
3ao4_451,-5029972.488520322
3ao4_456,-4677066.143713684
3ao4_473,-5395356.672855576
3ao4_476,-3767054.3338590185
3ao4_477,-5874507.412967708
3ao4_479,-4719894.765333053
3ao4_481,-4925588.948199221
3ao4_499,-4973025.514040637
3ao4_520,-3430117.6272659376
3ao4_572,-3132294.167061135
3ao4_582,-5595130.366615928
3ao4_585,-3960768.374612248
3ao4_593,-3111272.193683016
3ao4_628,-4571702.663897146
3ao4_650,-5452301.87311587
3ao4_655,-5362342.548614963
3ao4_657,-4666238.994125957
3ao4_661,-4130526.145801246
3ao4_691,-5057655.650117495
3ao4_715,-4537967.195792071
3ao4_718,-2385284.157355025
3ao4_730,-3883050.8394380864
3ao4_731,-5331326.212095902
3ao4_736,-2415297.22047898
3ao4_744,-3086215.3389609754
3ao4_749,-3808457.542598729
3ao4_750,-2300662.1690181578
3ao4_752,-3028925.197531338
3ao4_755,-2001455.0396659586
3ao4_757,-2103511.298504427
3ao4_758,-2007530.2271313972
3ao4_759,-2006419.2255877436
3ao4_760,-2122963.569199254
3ao4_762,-1780110.4098691384
3ao4_763,-2087419.2644606545
3ao4_764,-2011476.7062615594
3ao4_765,-1689958.3575077371
3ao4_766,-2679997.962105008
3ao4_768,-1885031.380826146
3ao4_769,-1863083.9937021534
3ao4_771,-2727087.7282938436
3ao4_772,-1806004.3835786427
3ao4_773,-1163267.7802201565
3ao4_774,-2117115.8176235007
3ao4_776,-2196191.76594826
3ao4_779,-4101646.2652556486
3ao4_780,-5988114.416212592
3ao4_784,-5362906.4602760635
3ao4_787,-5329942.574513707
3ao4_788,-5001202.469166346
3ao4_800,-3864766.64034582
3ao4_803,-4095797.8179933615
3ao4_808,-3641801.836738887
3ao4_850,-3598024.4364652885
3ao4_862,-1853083.998203918
3ao4_870,-3248344.288998317
3ao4_871,-2036404.813398317
3ao4_878,-2621939.3184965234
3ao4_880,-3812357.9514700435
3ao4_889,-2893600.2413023096
3ao4_909,-4553762.536952662
3ao4_910,-3213410.203680161
3ao4_915,-4137327.0629621143
3ao4_925,-4997750.627005475
3ao4_928,-3613035.9061479657
3ao4_943,-2511699.7979265996
3ao4_953,-3521575.990277072
3ao4_958,-3431044.803440272
3ao4_959,-2094732.8354157875
3ao4_962,-2808830.068618619
3ao4_964,-3582926.722597882
3ao4_965,-2109097.2834621556
3ao4_966,-3698576.44109699
3ao4_976,-2495494.2579493024
3ao4_978,-4373653.041295636
