#code,score
3rr4_13,-1714894.9851113358
3rr4_2,-1668761.2689056261
3rr4_315,-1663422.3077721242
3rr4_369,-1834881.6264922665
3rr4_401,1971419.266162109
3rr4_418,-1486383.8571020155
3rr4_426,-1616749.2573244818
3rr4_431,-1085333.9916820955
3rr4_436,-1214789.407799596
3rr4_437,-836221.6583451759
3rr4_449,-1416432.4060495324
3rr4_454,-1175067.5013755192
3rr4_458,-1596713.3323850497
3rr4_466,-1414415.3012159397
3rr4_476,-539338.2288981547
3rr4_479,-1455120.3616610472
3rr4_492,-737520.223533623
3rr4_500,-1571672.7804221106
3rr4_523,-317119.7377027161
3rr4_529,1460759.4275167664
3rr4_575,2888981.380356334
3rr4_578,525369.7176988367
3rr4_582,-873188.3323273142
3rr4_591,885923.3727319934
3rr4_592,-604121.8512129757
3rr4_596,11378069.659252102
3rr4_62,-1703265.8058667392
3rr4_641,-727030.0393684801
3rr4_648,-720720.8123994044
3rr4_663,-567835.720005011
3rr4_664,-1481631.2430375172
3rr4_669,-1323732.3994865608
3rr4_680,-95013.87192230241
3rr4_694,-875319.9721838309
3rr4_701,-1561633.5066764131
3rr4_703,-1414122.5289647188
3rr4_708,-1309773.7317580301
3rr4_715,-1065810.2034549443
3rr4_716,-1162675.526308671
3rr4_718,-1362476.6999184797
3rr4_722,-1324165.5330589092
3rr4_724,-1307616.2106751106
3rr4_729,-1199491.7458177977
3rr4_73,-1668330.589934023
3rr4_730,-1201226.3248391948
3rr4_731,-1242921.9025760982
3rr4_735,-1327183.44300971
3rr4_739,-1172573.9254534557
3rr4_746,-916507.3451695265
3rr4_747,-907518.2020049687
3rr4_749,-1174521.0913060517
3rr4_752,-1122788.806517209
3rr4_758,-1036143.5922660987
3rr4_760,-1036991.9199804926
3rr4_761,-1129225.8831063062
3rr4_763,-995948.9754023602
3rr4_764,-755774.1583474055
3rr4_765,-1169221.148004047
3rr4_766,-1151813.6225490998
3rr4_767,-776986.4061753444
3rr4_768,-1010771.3472601724
3rr4_769,-1493368.6775426664
3rr4_771,-1085169.9935441487
3rr4_773,-1219883.2881723288
3rr4_774,-1256437.8556727907
3rr4_784,-1309998.0038460991
3rr4_786,-1396296.393934478
3rr4_790,-1334358.0616593985
3rr4_791,-1431979.8347736541
3rr4_795,-1330988.8476285562
3rr4_806,-1212639.8008193262
3rr4_814,-1193687.972402383
3rr4_831,-1327795.7335384525
3rr4_837,-1335331.4033787716
3rr4_839,-1242795.0698612402
3rr4_849,-1169853.4841644536
3rr4_85,-1802615.8175246422
3rr4_851,-1209575.6758069666
3rr4_853,-1068094.274052978
3rr4_863,-1230895.384011425
3rr4_869,-1379466.6530581838
3rr4_875,-1275831.2696917565
3rr4_884,-1572215.4612088157
3rr4_89,-1731381.82984983
3rr4_891,-1239706.7115812916
3rr4_898,-1174241.8326189276
3rr4_913,-1088902.8010811335
3rr4_922,-1422462.543809208
3rr4_938,-1202436.8330788668
3rr4_949,-1349030.5760443364
3rr4_95,-1730953.421314342
3rr4_950,-1275008.225663418
3rr4_955,-1151914.547309679
3rr4_964,-1195152.485998585
3rr4_972,-1501675.076504502
3rr4_975,-976576.804841152
3rr4_99,-1600000.4313880499
