#code,score
2w4x_1000,-150.11545159354944
2w4x_156,-130.74769751088928
2w4x_172,-141.12291901418467
2w4x_180,-120.32222062927687
2w4x_190,-163.98161398726376
2w4x_211,-174.2088908758289
2w4x_289,-175.6077838832138
2w4x_296,-190.5153443993264
2w4x_306,-193.8113445390593
2w4x_37,-192.38685527900822
2w4x_405,-160.4702802732068
2w4x_407,-155.61369556309546
2w4x_417,-173.5351017443437
2w4x_420,-106.62846654948986
2w4x_455,-81.89428621329367
2w4x_457,-136.4943269087724
2w4x_459,-33.46964264609534
2w4x_466,-132.07853634616626
2w4x_488,-34.966181907719694
2w4x_519,-63.8295368121742
2w4x_523,-158.4971933229853
2w4x_535,-97.21927021632287
2w4x_541,-127.47243879282219
2w4x_560,-74.87532854625921
2w4x_586,-103.67236914411335
2w4x_595,-90.35878401963906
2w4x_61,-190.48879001447938
2w4x_618,-96.52393757260064
2w4x_668,-33.06898590154934
2w4x_67,-180.34529809704293
2w4x_679,-130.63406455686913
2w4x_690,-120.88614374043912
2w4x_699,-94.98940133230586
2w4x_703,-178.15080106045173
2w4x_705,-162.11824340942326
2w4x_718,-181.25891757274496
2w4x_733,-143.64277888347394
2w4x_741,-148.3199414925246
2w4x_745,-140.53693818861805
2w4x_755,-145.15424015742298
2w4x_756,-152.51944173550226
2w4x_757,-145.0393283359026
2w4x_758,-163.43777412191838
2w4x_765,-129.85746487838878
2w4x_773,-88.8278693228066
2w4x_775,-120.92053399758814
2w4x_780,-93.23077568869901
2w4x_785,-138.52408655734473
2w4x_787,-86.121228094361
2w4x_788,-121.60442278156442
2w4x_791,-88.63845935418023
2w4x_792,-109.8576437859999
2w4x_794,-105.71429955387505
2w4x_795,-113.71675648731407
2w4x_797,-63.858940173556725
2w4x_816,-174.73832318546442
2w4x_832,-143.7837875009485
2w4x_849,-100.748615099328
2w4x_862,-135.13176049503338
2w4x_880,-146.6366669775968
2w4x_884,-136.72142289572514
2w4x_890,-164.96152066548024
2w4x_891,-180.318947171618
2w4x_897,-131.5361938524132
2w4x_898,-138.2895500241159
2w4x_941,-184.56136741570452
2w4x_944,-147.18038826597729
2w4x_954,-153.7312029956654
2w4x_955,-147.58720739223918
2w4x_989,-151.75564830052815
2w4x_991,-145.57781859717673
2w4x_997,-118.11806005429537
