#code,score
4ea2_216,-277.08890956821324
4ea2_226,-328.2991669114286
4ea2_232,-276.120064493134
4ea2_238,-296.1880674365342
4ea2_25,-333.9739655634556
4ea2_270,-277.31295935094874
4ea2_364,-347.6753188319592
4ea2_407,1.844709732680144
4ea2_408,-106.92360443996779
4ea2_411,-215.151202663559
4ea2_442,-50.61505677036164
4ea2_444,-53.024049791527894
4ea2_456,-50.11633130339627
4ea2_485,76.08995072808396
4ea2_499,105.49788588401009
4ea2_526,-95.23649256055454
4ea2_53,-280.61327887882106
4ea2_530,-56.35744929669243
4ea2_531,-61.85702140342421
4ea2_534,379.6475100932654
4ea2_539,-60.12971826685011
4ea2_555,-77.03030030074584
4ea2_565,-43.24749127496149
4ea2_568,-188.01874931870196
4ea2_576,-53.08306225292989
4ea2_58,-278.49821476271063
4ea2_59,-291.1960182435177
4ea2_592,-142.2997605495154
4ea2_598,-157.880450529117
4ea2_603,204.99633629290162
4ea2_607,-164.7989018075903
4ea2_615,-27.242791742067382
4ea2_617,-125.18515662837478
4ea2_619,57.07349840527182
4ea2_621,-45.59536381154568
4ea2_625,0.32708613596811276
4ea2_639,-55.37923918719966
4ea2_640,-79.54005575301693
4ea2_645,-58.890624470557206
4ea2_653,-90.16427402292678
4ea2_661,-196.9039588861566
4ea2_662,-89.49428880397762
4ea2_663,-29.626779929782877
4ea2_666,153.82632600850593
4ea2_671,-85.4617289284604
4ea2_673,-163.8401476857536
4ea2_678,-201.94247801674567
4ea2_684,-25.78944406987167
4ea2_688,-105.88950043073018
4ea2_692,-140.24615265498352
4ea2_696,-197.40735257366111
4ea2_698,-115.34454645330885
4ea2_72,-279.49332125435365
4ea2_722,-372.0584330497465
4ea2_737,-343.77095887803756
4ea2_748,-308.67274728201124
4ea2_749,-272.4468718423719
4ea2_77,-271.45336040691757
4ea2_775,-261.11415716058787
4ea2_785,-251.66041191140602
4ea2_787,-270.3166966567828
4ea2_793,-269.8375377903066
4ea2_794,-272.31542921940235
4ea2_798,-282.61536078107014
4ea2_809,-337.3870384804471
4ea2_819,-352.9733852097032
4ea2_867,-312.890734285425
4ea2_895,-324.78849261517604
4ea2_96,-251.7668326020821
4ea2_961,-342.4256159518916
4ea2_998,-339.1405763331238
