#code,score
4lzs_1,-194.1357962204276
4lzs_154,-188.1194382131419
4lzs_203,-172.2322186658854
4lzs_224,-204.94808494378805
4lzs_38,-197.10163503371365
4lzs_391,-186.99164156536438
4lzs_415,-162.45023404305
4lzs_430,-184.32686227838366
4lzs_442,-67.34311984157698
4lzs_446,-21.574716872303327
4lzs_454,101.77190878545261
4lzs_456,-27.546749855129434
4lzs_465,-58.503977440674994
4lzs_529,-112.80831887044006
4lzs_533,5.3531986920074495
4lzs_550,13.988729912035602
4lzs_560,-125.91068703833675
4lzs_572,-129.41316084454655
4lzs_586,-0.5931197484479078
4lzs_61,-190.82359022192668
4lzs_617,-140.20553679841277
4lzs_653,-88.01494714573701
4lzs_693,-133.4434934323422
4lzs_70,-199.04235512929205
4lzs_702,-188.8588849638898
4lzs_725,-182.39797527502492
4lzs_746,-142.59768263763186
4lzs_749,-135.02338918406303
4lzs_750,-136.95237019215398
4lzs_752,-151.74615999237955
4lzs_753,-104.66188890047599
4lzs_755,-134.55804051062373
4lzs_756,-139.3267654484154
4lzs_760,-130.18751804748769
4lzs_765,-126.25711506707064
4lzs_767,-117.87093873031355
4lzs_768,-116.44949866803852
4lzs_773,-109.71659285808212
4lzs_778,-173.0505216570097
4lzs_779,-170.7730794004442
4lzs_784,-151.7296099507563
4lzs_788,-139.88688828466707
4lzs_789,-145.8865658219658
4lzs_793,-132.6188465311646
4lzs_795,-116.68364573321351
4lzs_819,-190.93690762534396
4lzs_838,-164.20052385331695
4lzs_841,-168.87852606456318
4lzs_845,-180.81825211909444
4lzs_849,-158.13927863963238
4lzs_850,-190.05401714647667
4lzs_852,-161.2008004816322
4lzs_88,-178.76053655446174
4lzs_880,-184.57502191667112
4lzs_881,-122.98711612971759
4lzs_884,-162.2098513260787
4lzs_885,-151.04355118915322
4lzs_890,-122.59072686003806
4lzs_905,-188.84879527240446
4lzs_951,-194.83061716242025
4lzs_968,-163.68980229940917
4lzs_980,-188.96027878501388
