#code,score
1bzc_101,148322.18300000002
1bzc_111,160849.85199999998
1bzc_142,174900.716
1bzc_190,171321.716
1bzc_217,171321.716
1bzc_223,170123.216
1bzc_225,170149.716
1bzc_260,175542.36899999998
1bzc_265,173469.716
1bzc_300,174900.716
1bzc_323,174872.716
1bzc_375,159644.962
1bzc_409,155258.01
1bzc_412,151114.174
1bzc_414,144995.07
1bzc_427,152271.37399999998
1bzc_43,165043.462
1bzc_439,206921.28699999998
1bzc_440,153758.039
1bzc_443,146465.42
1bzc_449,146885.785
1bzc_461,153697.174
1bzc_463,145866.71
1bzc_464,154468.889
1bzc_466,152243.37399999998
1bzc_469,150777.945
1bzc_473,146124.917
1bzc_481,153653.174
1bzc_487,165209.674
1bzc_502,164219.933
1bzc_504,160523.747
1bzc_522,158851.879
1bzc_524,154022.052
1bzc_526,164228.35199999998
1bzc_527,152549.797
1bzc_530,150867.842
1bzc_539,150124.05
1bzc_546,149543.579
1bzc_549,150995.435
1bzc_556,153633.00199999998
1bzc_558,148572.43899999998
1bzc_566,167222.36
1bzc_577,153242.452
1bzc_579,150203.945
1bzc_588,153180.437
1bzc_592,150640.865
1bzc_593,145512.268
1bzc_597,156800.58899999998
1bzc_608,168536.754
1bzc_611,149873.918
1bzc_614,146014.708
1bzc_615,150696.983
1bzc_620,146622.068
1bzc_622,131324.97600000002
1bzc_625,155459.105
1bzc_629,150620.615
1bzc_633,146104.605
1bzc_644,122379.62600000002
1bzc_651,152691.58899999998
1bzc_652,147727.36399999997
1bzc_659,145866.71
1bzc_660,130876.90100000001
1bzc_664,146437.71
1bzc_666,145866.71
1bzc_669,150458.23
1bzc_670,145866.71
1bzc_671,126893.86600000001
1bzc_674,150356.72
1bzc_677,153853.902
1bzc_681,153228.78699999998
1bzc_682,144908.485
1bzc_686,150061.08
1bzc_688,149755.73
1bzc_690,162989.385
1bzc_694,133155.478
1bzc_700,151627.52
1bzc_709,183898.86899999998
1bzc_778,167371.21
1bzc_963,173275.90899999999
