#code,score
3e5a_102,104891.664
3e5a_106,132404.99800000002
3e5a_116,131924.133
3e5a_129,260348.47299999997
3e5a_140,121129.40800000001
3e5a_143,124369.683
3e5a_156,140578.50400000002
3e5a_157,274008.524
3e5a_175,261342.47299999997
3e5a_209,169429.408
3e5a_211,261342.17089999997
3e5a_217,269016.343
3e5a_226,120548.20300000001
3e5a_229,120942.98300000001
3e5a_231,265428.49299999996
3e5a_247,120914.98300000001
3e5a_285,161093.689
3e5a_286,131994.133
3e5a_297,280291.6309
3e5a_305,265428.49299999996
3e5a_313,265428.49299999996
3e5a_315,121001.756
3e5a_332,121257.42300000001
3e5a_333,173017.25799999997
3e5a_345,172065.03299999997
3e5a_362,270370.79299999995
3e5a_372,265428.49299999996
3e5a_398,265428.49299999996
3e5a_413,120931.756
3e5a_414,124439.683
3e5a_420,265747.90589999995
3e5a_421,120653.633
3e5a_431,120590.34300000001
3e5a_434,121017.841
3e5a_436,116584.246
3e5a_442,271639.703
3e5a_456,169429.408
3e5a_458,180571.708
3e5a_467,120915.123
3e5a_468,273601.999
3e5a_487,129876.962
3e5a_488,112607.26400000002
3e5a_49,265428.49299999996
3e5a_490,155842.12900000002
3e5a_491,120520.20300000001
3e5a_535,131994.133
3e5a_541,261342.47299999997
3e5a_555,121001.933
3e5a_566,135607.62300000002
3e5a_576,156047.654
3e5a_577,251810.96899999998
3e5a_578,120931.756
3e5a_581,112446.11400000002
3e5a_602,129238.552
3e5a_606,140380.85199999998
3e5a_629,123444.883
3e5a_652,269086.343
3e5a_659,116154.494
3e5a_668,135801.106
3e5a_671,268958.43299999996
3e5a_676,183087.34889999998
3e5a_683,132057.423
3e5a_688,136114.911
3e5a_69,165343.388
3e5a_693,173068.38099999996
3e5a_696,240626.72699999998
3e5a_698,120781.83300000001
3e5a_720,265428.49299999996
3e5a_726,128586.99900000001
3e5a_744,265428.49299999996
3e5a_745,265428.49299999996
3e5a_749,124613.808
3e5a_759,180571.708
3e5a_761,124465.08300000001
3e5a_762,260019.488
3e5a_765,121088.56599999999
3e5a_766,249686.88389999996
3e5a_787,131415.90300000002
3e5a_799,265561.783
3e5a_855,265428.49299999996
3e5a_857,104878.614
3e5a_86,120915.123
3e5a_868,121490.243
3e5a_90,158446.12699999998
3e5a_902,265428.49299999996
3e5a_91,120781.83300000001
3e5a_910,173017.25799999997
3e5a_94,124574.146
