#code,score
3u9q_133,112285.78
3u9q_158,112285.78
3u9q_22,135924.589
3u9q_234,112228.68
3u9q_238,135924.589
3u9q_252,112605.38
3u9q_268,112228.68
3u9q_273,117382.88
3u9q_278,112271.37
3u9q_282,104055.17400000003
3u9q_286,131093.119
3u9q_291,112285.78
3u9q_355,135792.13199999998
3u9q_363,132265.964
3u9q_386,131129.274
3u9q_407,116863.79
3u9q_416,117053.67
3u9q_421,112271.37
3u9q_426,131156.699
3u9q_451,116996.57
3u9q_458,132265.964
3u9q_476,132295.484
3u9q_477,132265.964
3u9q_480,135884.909
3u9q_509,152496.766
3u9q_53,123758.993
3u9q_539,134268.513
3u9q_540,118885.89
3u9q_546,117053.67
3u9q_559,109336.76400000002
3u9q_562,126975.242
3u9q_576,112300.89
3u9q_602,118020.09
3u9q_606,133722.047
3u9q_619,117013.99
3u9q_621,112771.9
3u9q_623,119351.19
3u9q_629,135924.589
3u9q_630,117026.09
3u9q_633,131156.699
3u9q_639,139980.966
3u9q_640,118077.19
3u9q_645,117006.18
3u9q_656,124092.45800000001
3u9q_658,135903.289
3u9q_663,123758.993
3u9q_669,117083.19
3u9q_680,136815.13199999998
3u9q_682,131987.322
3u9q_696,127044.442
3u9q_750,127618.30300000001
3u9q_753,116956.89
3u9q_756,109196.68800000001
3u9q_760,116996.57
3u9q_773,127680.308
3u9q_778,130063.42199999999
3u9q_783,121889.916
3u9q_784,132202.384
3u9q_788,124102.06800000001
3u9q_793,135855.389
3u9q_794,117026.09
3u9q_810,113337.945
3u9q_860,123758.993
3u9q_867,116996.57
3u9q_877,127792.85800000001
3u9q_883,117013.99
3u9q_890,135954.109
3u9q_91,112228.68
3u9q_938,117510.27
3u9q_971,117053.67
