#code,score
4cra_102,328421.55799999996
4cra_113,222814.66799999998
4cra_119,214596.812
4cra_124,222093.095
4cra_126,263972.76200000005
4cra_130,310372.588
4cra_151,306176.685
4cra_155,222443.23
4cra_175,313447.66500000004
4cra_201,306765.816
4cra_204,235239.09100000001
4cra_214,226105.335
4cra_219,325439.036
4cra_224,210253.312
4cra_230,213047.212
4cra_24,178833.915
4cra_240,304715.516
4cra_250,186638.34600000002
4cra_258,214215.062
4cra_270,215879.675
4cra_276,201882.783
4cra_281,313171.91500000004
4cra_283,211126.462
4cra_292,200611.456
4cra_296,226214.51
4cra_302,237604.641
4cra_307,329646.259
4cra_318,213520.062
4cra_354,211126.462
4cra_358,173753.03
4cra_364,209904.19199999998
4cra_375,229596.49799999996
4cra_378,231017.40399999998
4cra_383,230988.174
4cra_4,309435.76200000005
4cra_413,174942.053
4cra_422,338613.966
4cra_439,211068.216
4cra_441,230793.586
4cra_444,331415.316
4cra_448,171144.08
4cra_456,186658.06600000002
4cra_470,211735.105
4cra_472,323394.49
4cra_477,330083.391
4cra_479,328589.31
4cra_496,229235.285
4cra_504,163832.392
4cra_523,183133.561
4cra_525,175057.905
4cra_533,321988.885
4cra_538,159054.22100000002
4cra_540,186707.546
4cra_541,326641.51
4cra_547,221909.815
4cra_548,323201.715
4cra_549,159134.94400000002
4cra_564,329371.206
4cra_566,320812.85
4cra_569,159141.11800000002
4cra_572,235808.354
4cra_576,211342.992
4cra_578,181995.73599999998
4cra_579,324441.21
4cra_580,159231.33
4cra_584,199005.326
4cra_589,222733.945
4cra_590,318882.953
4cra_591,325772.43299999996
4cra_595,178716.53
4cra_596,227211.34
4cra_604,211195.66199999998
4cra_61,226464.415
4cra_610,225989.51
4cra_624,183339.93099999998
4cra_636,186926.96399999998
4cra_644,178492.008
4cra_656,227456.771
4cra_658,226513.76
4cra_680,207859.39599999998
4cra_689,167698.04
4cra_695,223093.49299999996
4cra_716,299239.906
4cra_719,213509.25199999998
4cra_720,210030.46399999998
4cra_748,226174.92299999998
4cra_795,326214.05600000004
4cra_81,178647.33
4cra_827,233946.016
4cra_828,228169.66100000002
4cra_830,237689.28100000002
4cra_855,337936.91900000005
4cra_861,232208.40899999999
4cra_893,173874.303
4cra_905,182080.88599999997
4cra_918,230636.961
4cra_941,172830.853
4cra_953,171278.428
4cra_967,179317.58599999998
4cra_972,229472.69199999998
