#code,score
3b27_106,-22.41042662593376
3b27_110,-23.591295139579312
3b27_119,-23.521700050744688
3b27_120,-22.835770428588013
3b27_123,-23.917145167259086
3b27_130,-23.335875363480337
3b27_139,-22.93796677821086
3b27_147,-22.520488766342467
3b27_164,-23.009810501137927
3b27_168,-22.508442130885783
3b27_178,-23.09313277240699
3b27_19,-22.9121664444599
3b27_199,-22.325693757734808
3b27_264,-23.041008879292775
3b27_307,-22.391403706021407
3b27_311,-22.314139862848677
3b27_337,-22.343742117498387
3b27_340,-22.96478475448014
3b27_351,-22.82153706620129
3b27_366,-22.73554136537474
3b27_414,-23.44529104703213
3b27_417,-23.44892028757572
3b27_419,-23.110581608507243
3b27_423,-23.32550899014044
3b27_431,-22.82315694428744
3b27_433,-22.449051876097364
3b27_436,-22.389442297366926
3b27_439,-21.924700278240678
3b27_450,-22.196437064907204
3b27_457,-23.916937294810026
3b27_458,-23.07660430635101
3b27_469,-22.061267774331103
3b27_474,-22.86973738632992
3b27_487,-23.48901146416568
3b27_488,-22.94584942195595
3b27_500,-22.649328998131587
3b27_505,-22.95604119825241
3b27_515,-21.606528377753794
3b27_520,-23.328169207146885
3b27_521,-23.028269762674768
3b27_532,-22.665362205620994
3b27_537,-22.57182743650692
3b27_538,-23.036050801554815
3b27_540,-23.077119188354374
3b27_560,-23.125845282883088
3b27_566,-22.95277516447101
3b27_577,-22.310624143046375
3b27_581,-23.512099590866093
3b27_587,-23.660275844976045
3b27_588,-23.02498277563992
3b27_590,-23.105516189041833
3b27_591,-22.820368665392905
3b27_601,-23.577045635471233
3b27_618,-23.266636739177315
3b27_619,-23.14024758181288
3b27_630,-23.18952609529065
3b27_634,-22.73471225466406
3b27_647,-22.177722632417137
3b27_651,-22.445384087644367
3b27_658,-23.072335214225763
3b27_661,-22.868817735369607
3b27_665,-22.87208102785072
3b27_690,-22.61399292004241
3b27_692,-23.344817769840834
3b27_697,-22.85095794152745
3b27_741,-23.174145445138237
3b27_77,-22.721994666883607
3b27_775,-22.485274972441257
3b27_782,-23.40307007781883
3b27_8,-22.00732752657026
3b27_83,-23.041008879292775
