#code,score
4kzu_112,-22.9064826270108
4kzu_206,-22.66798038500274
4kzu_256,-22.87720231008832
4kzu_286,-22.791203339701333
4kzu_411,-23.611164271985295
4kzu_422,-22.447559611933023
4kzu_424,-22.704150283158814
4kzu_426,-23.300310477020098
4kzu_429,-23.223106260630278
4kzu_432,-23.61705757568434
4kzu_439,-22.192577371788385
4kzu_455,-22.53617356053285
4kzu_468,-23.399471884955048
4kzu_472,-22.349789025317897
4kzu_474,-22.451278803492045
4kzu_481,-22.731287710274295
4kzu_483,-23.202748910947083
4kzu_491,-22.639364844467845
4kzu_492,-23.204194124946635
4kzu_497,-23.292529844953425
4kzu_499,-23.624026506708038
4kzu_5,-22.746510638477908
4kzu_504,-23.23522238626828
4kzu_524,-22.804200211003604
4kzu_537,-22.60708793997071
4kzu_548,-22.37217532431346
4kzu_549,-22.757229494256002
4kzu_552,-23.3643612939799
4kzu_553,-22.354001368602454
4kzu_559,-22.493685899169726
4kzu_565,-22.46214668310358
4kzu_569,-22.492000600198867
4kzu_570,-22.9240302081326
4kzu_571,-23.37852559869136
4kzu_574,-22.81782169433987
4kzu_575,-22.57333099417208
4kzu_577,-22.963500148132976
4kzu_578,-22.65738802562748
4kzu_582,-22.70274542972051
4kzu_592,-23.214824361500064
4kzu_593,-22.941129264625403
4kzu_594,-23.081539013118064
4kzu_599,-23.334180832413107
4kzu_601,-23.475726419437443
4kzu_610,-22.930888971993422
4kzu_618,-23.105716477062952
4kzu_619,-23.314598561267406
4kzu_641,-22.576931214669592
4kzu_660,-23.388999341303162
4kzu_661,-23.046279784552144
4kzu_662,-23.325049913277695
4kzu_663,-23.37052555522493
4kzu_668,-23.074881318824218
4kzu_669,-22.53280039357214
4kzu_675,-23.484096309758712
4kzu_678,-23.257405649322976
4kzu_680,-23.190246899424125
4kzu_682,-23.533289699577196
4kzu_690,-23.58948311938401
4kzu_696,-23.185289204813575
4kzu_700,-23.40194545197609
4kzu_708,-22.21883324988479
4kzu_709,-23.177272263313604
4kzu_710,-22.410712553133802
4kzu_712,-22.33681403581695
4kzu_735,-22.426166897687803
4kzu_738,-22.908333335171495
4kzu_740,-22.33681403581695
4kzu_741,-21.448138619117444
4kzu_747,-22.679121463199802
4kzu_752,-22.794043441857458
4kzu_753,-22.221580200114946
4kzu_755,-22.221580200114946
4kzu_757,-22.129816923254644
4kzu_761,-23.14895580144777
4kzu_762,-22.221580200114946
4kzu_775,-22.763745415421432
4kzu_776,-23.399835559398948
4kzu_777,-22.46654282193992
4kzu_786,-22.371390286975274
4kzu_789,-22.374344022888117
4kzu_800,-23.0795784817383
4kzu_847,-22.536981102962404
4kzu_856,-23.70990925756012
4kzu_857,-23.661579213829054
4kzu_861,-21.36037039590009
4kzu_863,-22.520050887818883
4kzu_865,-21.740394377146018
4kzu_867,-22.693418422977416
4kzu_872,-22.579515152362774
4kzu_877,-22.579515152362774
4kzu_878,-22.257988246174293
4kzu_883,-22.91726466250464
4kzu_889,-22.89031745988673
4kzu_907,-22.560443683581333
4kzu_909,-23.53372684237323
4kzu_924,-22.663245548809467
4kzu_932,-23.763393572003952
4kzu_956,-22.262809413719356
4kzu_961,-22.92223190821721
