#code,score
2brb_128,32075.75822666667
2brb_13,29444.803359999998
2brb_146,31401.399309999997
2brb_183,33682.56667333334
2brb_214,36029.780523333335
2brb_223,35903.84719
2brb_246,36677.21385666667
2brb_285,32621.195976666666
2brb_302,26911.97336
2brb_318,28597.380643333334
2brb_361,32239.239023333328
2brb_383,30287.03664333333
2brb_405,27059.709020000002
2brb_406,27269.19648666666
2brb_408,78060.29476333334
2brb_425,28616.124009999992
2brb_442,31250.70180333333
2brb_449,77067.78916999999
2brb_452,48060.61697666667
2brb_460,28262.214476666675
2brb_466,28286.12158666667
2brb_469,28495.812826666664
2brb_474,31700.869026666667
2brb_477,95512.8942
2brb_490,80870.41213666667
2brb_494,79228.65316999999
2brb_501,45999.22797666667
2brb_502,29203.315776666663
2brb_514,31062.909190000002
2brb_521,27686.07536
2brb_522,29338.85247666667
2brb_533,28229.46019333333
2brb_539,34529.884410000006
2brb_550,105271.27238666668
2brb_558,28677.713310000003
2brb_568,35911.163973333336
2brb_582,29518.037193333334
2brb_586,30983.52344333334
2brb_593,32011.05131
2brb_594,29503.33014333334
2brb_596,28492.107643333326
2brb_597,28676.816643333335
2brb_601,30325.630170000004
2brb_608,38203.04064
2brb_624,28023.368893333332
2brb_643,93261.32148
2brb_655,27895.669526666665
2brb_666,29882.731893333326
2brb_671,28232.58481
2brb_672,30208.24247666667
2brb_674,97412.26957
2brb_675,83232.60900333333
2brb_682,29240.598809999996
2brb_693,83075.49620333334
2brb_696,29132.563876666663
2brb_697,80967.88616999998
2brb_705,32964.04402333333
2brb_713,37035.948346666664
2brb_743,29939.330643333335
2brb_745,29881.012859999995
2brb_751,27146.508976666668
2brb_752,27889.91781
2brb_754,36553.564510000004
2brb_759,44777.96464333334
2brb_85,36240.76797333333
2brb_88,32996.88274
2brb_94,30466.540186666673
2brb_941,35141.63898333333
