#code,score
3wtj_134,35044.269133333335
3wtj_157,41487.60425333333
3wtj_184,34940.84763666666
3wtj_222,41864.37297
3wtj_240,42195.4246
3wtj_258,42007.17963666666
3wtj_307,41585.13591999999
3wtj_328,41009.10325333333
3wtj_4,35715.24350999999
3wtj_404,41179.87425333333
3wtj_454,118003.07514666667
3wtj_467,121856.65423
3wtj_485,37781.04548666667
3wtj_500,36880.95748333334
3wtj_507,32898.46678333333
3wtj_542,35901.25896666667
3wtj_544,42376.43322
3wtj_547,35186.35626666666
3wtj_566,42336.40491999999
3wtj_572,43281.16820333333
3wtj_615,38708.64013666667
3wtj_628,35046.11796666667
3wtj_633,36080.24921666667
3wtj_640,41586.23472666666
3wtj_643,32449.395783333337
3wtj_648,39704.52382
3wtj_653,41168.806466666676
3wtj_659,29264.802
3wtj_660,39901.295320000005
3wtj_663,32903.8242
3wtj_674,41144.66436666667
3wtj_678,42668.235603333334
3wtj_682,36532.587080000005
3wtj_683,118700.22221333333
3wtj_686,42253.02754999999
3wtj_688,116346.54817666668
3wtj_689,40733.39258666667
3wtj_696,43746.60225333334
3wtj_698,39042.54812666666
3wtj_740,33746.94463333333
3wtj_746,35686.486846666674
3wtj_755,42169.10508666667
3wtj_756,36948.26730000001
3wtj_759,34074.31862000001
3wtj_762,42384.85158666666
3wtj_764,42049.533233333335
3wtj_766,42828.97813333334
3wtj_767,43133.16755333334
3wtj_768,38654.026633333335
3wtj_770,33479.21031666667
3wtj_771,43133.16755333334
3wtj_774,33537.357800000005
3wtj_779,42278.55042
3wtj_780,37960.853970000004
3wtj_781,36290.004986666674
3wtj_783,36994.44582000001
3wtj_785,123405.86269333336
3wtj_962,38206.58846666667
3wtj_976,35047.469586666666
3wtj_979,41179.87425333333
