#code,score
4m0y_214,81362.24132666666
4m0y_224,80243.29808666665
4m0y_232,81474.50232666665
4m0y_252,76004.16527333332
4m0y_336,75722.04899666666
4m0y_407,64807.34764
4m0y_410,77717.69253666667
4m0y_416,75659.74197333335
4m0y_426,56650.612640000014
4m0y_448,123773.8950066667
4m0y_461,64339.59202999999
4m0y_467,121318.72949666664
4m0y_476,59940.259716666675
4m0y_485,57105.15106
4m0y_488,78769.40860333332
4m0y_493,119812.82890333333
4m0y_509,58866.11147333334
4m0y_512,79362.46079333332
4m0y_513,80125.87607666664
4m0y_514,59829.54611666667
4m0y_524,63450.10957
4m0y_525,60078.11411666668
4m0y_532,64102.966096666656
4m0y_534,81384.95386333331
4m0y_537,83872.3544933333
4m0y_544,63300.343726666666
4m0y_545,78431.37022666665
4m0y_546,82292.86784333331
4m0y_547,81248.06374333329
4m0y_549,80753.09116
4m0y_558,80806.11632666666
4m0y_561,77531.27828666665
4m0y_567,150740.74688666672
4m0y_570,166306.12904666673
4m0y_574,61973.188109999996
4m0y_586,79368.18140999999
4m0y_589,75258.52384333333
4m0y_591,61506.72717
4m0y_592,62938.69437666667
4m0y_598,77400.65702666665
4m0y_601,83126.75524333332
4m0y_610,81237.62881666663
4m0y_619,66981.84077000001
4m0y_631,60791.96575666666
4m0y_646,65655.21742333334
4m0y_655,63472.161096666656
4m0y_659,134088.02697333333
4m0y_662,80109.77375333331
4m0y_669,59677.907896666664
4m0y_682,131553.40593333333
4m0y_684,147690.27864666664
4m0y_686,59887.378926666664
4m0y_697,75597.32757333333
4m0y_739,72177.98431666665
4m0y_740,76810.10689333332
4m0y_743,82094.25559333332
4m0y_748,63472.452863333325
4m0y_750,60345.306046666665
4m0y_752,63329.87368
4m0y_753,59298.05038
4m0y_756,80278.79002666665
4m0y_757,81285.70692666665
4m0y_758,82180.11932666664
4m0y_759,81917.36225999998
4m0y_767,76642.95992666665
4m0y_814,76612.08110999997
4m0y_822,82259.97915999996
4m0y_827,54359.97918000001
4m0y_839,71974.97980333334
4m0y_846,76934.24184666664
4m0y_856,81907.02559333331
4m0y_863,76791.14792666664
4m0y_873,77619.41135999998
4m0y_883,75696.79511333333
4m0y_907,79442.52966
4m0y_920,79974.70799333332
4m0y_922,75304.67992333333
4m0y_923,75260.18292333333
4m0y_951,77794.86417
4m0y_952,79960.99153
