#code,score
4u4s_120,27420.03954666667
4u4s_122,27454.277500000004
4u4s_127,29095.560849999998
4u4s_128,29039.343266666667
4u4s_138,29158.79331333333
4u4s_14,26662.000100000005
4u4s_143,27774.64451666667
4u4s_152,25813.786100000005
4u4s_153,33037.07541333335
4u4s_173,26908.43876666667
4u4s_230,27069.68676666667
4u4s_232,27089.2461
4u4s_251,25905.71276666667
4u4s_26,27129.82876666667
4u4s_261,25112.047100000003
4u4s_271,25668.409433333338
4u4s_272,27598.06945333334
4u4s_293,25686.695433333338
4u4s_36,25540.98385
4u4s_412,25768.22276666667
4u4s_427,25683.66383333334
4u4s_428,27459.321313333337
4u4s_429,25188.508220000003
4u4s_430,25827.178100000005
4u4s_435,27584.80276666667
4u4s_440,27111.382833333337
4u4s_449,25821.492100000007
4u4s_456,25152.7115
4u4s_460,26709.29622
4u4s_462,28702.596543333333
4u4s_464,25685.726380000004
4u4s_468,28467.13032333333
4u4s_484,27590.477673333335
4u4s_485,26658.15650666667
4u4s_490,27395.85604666667
4u4s_492,25666.660380000005
4u4s_497,29729.565746666663
4u4s_500,25733.0335
4u4s_509,30256.61108
4u4s_523,28673.712169999995
4u4s_526,27351.008100000003
4u4s_537,28287.800046666667
4u4s_540,32112.23483000001
4u4s_547,29861.260349999997
4u4s_550,26640.450183333334
4u4s_551,27516.754769999996
4u4s_555,25826.858100000005
4u4s_557,23513.17768
4u4s_586,30590.46524666667
4u4s_589,29396.830579999994
4u4s_595,27508.152220000007
4u4s_597,29245.313786666666
4u4s_598,26830.120766666667
4u4s_609,26927.87243333333
4u4s_613,30623.382396666675
4u4s_624,35298.85472333334
4u4s_637,28797.42763666667
4u4s_638,26675.838340000002
4u4s_640,31525.415730000008
4u4s_641,77128.09164799999
4u4s_642,25842.7441
4u4s_644,26693.34809666667
4u4s_646,25781.504100000006
4u4s_647,29786.679313333334
4u4s_654,27937.016256666666
4u4s_658,34045.88366333334
4u4s_659,26955.177553333335
4u4s_665,29158.89998
4u4s_668,27584.456046666674
4u4s_670,27493.005923333334
4u4s_671,25909.680833333336
4u4s_675,24186.317096666673
4u4s_682,29797.411046666664
4u4s_689,80740.10374466665
4u4s_69,29228.975666666665
4u4s_71,25156.217433333335
4u4s_719,25771.28276666667
4u4s_720,25273.354310000002
4u4s_726,27898.67221
4u4s_727,26709.06297666667
4u4s_730,29793.193646666667
4u4s_764,29823.579423333333
4u4s_765,26908.43876666667
4u4s_766,26824.005433333336
4u4s_767,26843.840766666668
4u4s_768,25808.19516666667
4u4s_772,28542.430596666672
4u4s_776,31999.451813333344
4u4s_787,27508.064100000003
4u4s_835,27538.85078666667
4u4s_842,27373.003313333335
4u4s_855,32463.89701333334
4u4s_863,25051.697433333335
4u4s_927,25786.612100000006
4u4s_958,28443.47280333334
4u4s_962,29699.37209
4u4s_965,25666.18604666667
4u4s_969,28397.909470000006
4u4s_971,27582.622966666673
