#code,score
2p4y_100,-8084409.285748956
2p4y_103,-9019640.526757868
2p4y_127,-5857294.969892013
2p4y_146,-8694939.824957011
2p4y_152,-9096886.727454254
2p4y_169,-9452715.358388154
2p4y_202,-9281151.077790048
2p4y_208,-9649500.860013727
2p4y_223,-10512652.042107498
2p4y_240,-9113311.332935855
2p4y_247,-8997132.770267284
2p4y_25,-8891890.076205501
2p4y_253,-8958151.234759467
2p4y_268,-8368264.657067168
2p4y_275,-10721164.937837377
2p4y_293,-8937273.506448917
2p4y_297,-9962128.418424081
2p4y_305,-9179681.424874032
2p4y_309,-4918498.899550122
2p4y_314,-7639512.598772477
2p4y_350,-4432032.658276023
2p4y_38,-8963098.40737811
2p4y_407,-11530495.805921255
2p4y_409,-14084156.164889133
2p4y_412,-15433452.311767
2p4y_419,-11056521.823328357
2p4y_423,-13292291.040220913
2p4y_424,-16686754.06237633
2p4y_435,-16368914.60674268
2p4y_445,-15238325.604667079
2p4y_446,-13859819.137564735
2p4y_456,-15014741.82553291
2p4y_461,-11530844.148381555
2p4y_472,-15361885.471505806
2p4y_509,-8916167.326731713
2p4y_53,-8972992.26215568
2p4y_549,-12609479.885511197
2p4y_564,-8056782.436247463
2p4y_570,-10358588.452591252
2p4y_581,-9259025.484083466
2p4y_582,-13144992.151776262
2p4y_587,-13862891.849209633
2p4y_588,-11382836.892562604
2p4y_591,-8347821.411004624
2p4y_595,-10262111.453471554
2p4y_596,-9059357.37599478
2p4y_600,-11520994.089137604
2p4y_618,-12764902.140624154
2p4y_649,-4381550.898073103
2p4y_665,-17453018.816424374
2p4y_669,-12107804.422659134
2p4y_679,-11086582.652229821
2p4y_685,-15019298.193168236
2p4y_700,-11615177.19854299
2p4y_703,-8119139.849949408
2p4y_714,-8290624.629466215
2p4y_718,-7409844.884867221
2p4y_74,-9117708.921560736
2p4y_748,-10214164.299627008
2p4y_749,-10338024.991351215
2p4y_751,-7633811.798127734
2p4y_752,-9482440.463089615
2p4y_757,-10295946.095709225
2p4y_758,-11730624.170042967
2p4y_761,-10517453.535209259
2p4y_762,-11161129.040055195
2p4y_765,-8452852.336603124
2p4y_767,-10554602.093504975
2p4y_77,-8780406.125058074
2p4y_772,-11263805.255115798
2p4y_773,-8929968.209931428
2p4y_775,-9747599.58782834
2p4y_778,-11520704.194182687
2p4y_781,-9899250.734757388
2p4y_782,-8690930.718045508
2p4y_784,-8915365.593563309
2p4y_785,-8746944.822546141
2p4y_842,-9905107.577365762
2p4y_856,-9290697.887366913
2p4y_859,-8884821.032598147
2p4y_899,-7982092.962086579
2p4y_908,-11483432.954502212
2p4y_932,-9464402.606096061
2p4y_938,-9008440.950471805
2p4y_951,-7394326.30560153
2p4y_961,-6800442.825229732
2p4y_979,-11582894.993317693
