#code,score
2wvt_217,-1147263.1742816127
2wvt_266,-1359864.7244030763
2wvt_404,-2254489.829316046
2wvt_415,-1816010.777581485
2wvt_442,-1240639.3696834377
2wvt_456,-2102042.5586797507
2wvt_464,-2258621.3615145753
2wvt_474,-2825905.969995207
2wvt_478,-2484954.635909816
2wvt_492,-930741.3491457533
2wvt_510,300633.1858961213
2wvt_518,-946613.3738830176
2wvt_526,573901.9325583061
2wvt_529,-155841.48842146338
2wvt_546,63194.14000668836
2wvt_548,-949791.0340687069
2wvt_552,212376.20973062236
2wvt_565,-161155.08266785747
2wvt_574,133164.73128725996
2wvt_579,-1353442.8051075798
2wvt_581,440832.43577886047
2wvt_593,-873543.2196505227
2wvt_615,-2895470.1960122893
2wvt_630,-1566936.7060444886
2wvt_675,-1760893.365938373
2wvt_678,-1311817.564478637
2wvt_720,-1340332.913399535
2wvt_731,1201172.2215337288
2wvt_736,-1204997.0228494874
2wvt_743,1238325.439329475
2wvt_758,691869.6286529821
2wvt_762,-1893984.7957065473
2wvt_764,-194964.85468504042
2wvt_767,-1300734.6911440075
2wvt_770,873010.1585546883
2wvt_775,-717325.3373634871
2wvt_777,146349.08109975787
2wvt_780,787285.3822984258
2wvt_843,-730248.5616998118
2wvt_848,821059.3858974034
2wvt_859,-1493237.780551667
2wvt_870,1213315.366235342
2wvt_875,1544087.6787842286
2wvt_884,1189133.31690056
2wvt_898,1478805.1065071113
2wvt_920,-1238516.0708572033
2wvt_922,-1297492.731074698
2wvt_961,271309.283977758
2wvt_962,1254668.0344775156
2wvt_982,1409445.0194964607
