#code,score
3dx1_119,-1368259.9881309539
3dx1_20,-1485522.5218490125
3dx1_25,-1445573.9828969918
3dx1_287,-962848.865937945
3dx1_29,-1411038.2120427142
3dx1_304,-1408366.9789874868
3dx1_382,-1392693.8458263492
3dx1_39,-1424376.0736375034
3dx1_440,-250968.81730608206
3dx1_457,-1035455.0988009975
3dx1_464,605382.3704447614
3dx1_477,8483.198176782302
3dx1_492,-307468.5975510221
3dx1_497,95128.60017459672
3dx1_531,-300262.57667900977
3dx1_548,-723634.109087429
3dx1_554,1005911.6689744976
3dx1_557,-806485.6265554717
3dx1_560,-920452.3851394294
3dx1_566,-960770.7230059282
3dx1_568,-808586.715225125
3dx1_569,-910377.3220827795
3dx1_570,-249550.0188051933
3dx1_574,-548786.127082866
3dx1_577,-835759.6710308631
3dx1_579,136939.37509433116
3dx1_585,-612680.0326813768
3dx1_587,-945241.4031976796
3dx1_588,-1003406.4206833155
3dx1_591,-573867.4717387152
3dx1_592,-754444.4022036478
3dx1_594,-915963.4045936391
3dx1_595,-742881.3304127485
3dx1_597,-664076.4856444639
3dx1_603,-756582.8269981428
3dx1_611,-517495.74330578547
3dx1_627,-347067.13585964066
3dx1_634,-479571.16455861856
3dx1_645,-499029.5050626296
3dx1_648,-695284.1564908718
3dx1_651,-460215.76607510506
3dx1_654,511901.8526163709
3dx1_657,897081.8578591902
3dx1_665,-540892.9775746444
3dx1_673,-679444.0413470115
3dx1_679,-490195.10855484754
3dx1_683,-254752.54163135053
3dx1_687,-142992.9945608148
3dx1_692,-710931.1575726405
3dx1_693,-714103.8184524263
3dx1_695,-972991.5559596037
3dx1_700,-776905.99412723
3dx1_735,-1317152.0059177831
3dx1_750,-849108.7008006797
3dx1_753,-1367188.4772642099
3dx1_756,-1215997.9048845095
3dx1_763,-1068599.868887314
3dx1_766,-1428997.9540780743
3dx1_775,-1292765.7651452469
3dx1_776,-939837.6199925203
3dx1_781,-848023.3668274281
3dx1_784,-1139821.3805146595
3dx1_785,-1272070.3101233158
3dx1_787,-732177.3483690862
3dx1_791,-751472.433517671
3dx1_802,-1427834.2247850706
3dx1_808,-1388746.2047090977
3dx1_840,-1268045.4855715216
3dx1_851,-1423646.4728118624
3dx1_861,-1377811.1749139316
3dx1_961,-1420591.7002470263
3dx1_983,-1280581.3863933994
3dx1_987,-1345235.246013575
3dx1_989,-1378998.6060392773
