#code,score
3ejr_10,-3109519.883601763
3ejr_16,-2673759.8096405324
3ejr_19,-2685304.4090284365
3ejr_213,-2877304.206530269
3ejr_217,-3044424.8584141172
3ejr_22,-3090804.063907561
3ejr_222,-2706881.129054755
3ejr_233,-2819800.4994776435
3ejr_236,-3135609.00289679
3ejr_277,-3046266.321873072
3ejr_327,-3307472.1847623815
3ejr_360,-3324457.7954439474
3ejr_401,5084054.94038754
3ejr_417,-2171996.0476301503
3ejr_419,6266592.089176267
3ejr_428,-1796976.3323197383
3ejr_443,538209.2675200634
3ejr_457,-2297113.0006369655
3ejr_459,780793.3335510386
3ejr_469,2568437.737967232
3ejr_480,12465923.498164734
3ejr_492,-1334250.6577624932
3ejr_495,3922306.1417903886
3ejr_514,1542349.6785175188
3ejr_531,-992349.3666512357
3ejr_536,6294656.628172083
3ejr_546,4269080.685760774
3ejr_55,-2667469.0780019686
3ejr_553,-915509.5631070015
3ejr_561,-49815.76360407277
3ejr_573,2260907.713924607
3ejr_577,-1212499.9820589372
3ejr_587,221530.2053861941
3ejr_588,8197921.146922993
3ejr_591,-2201218.1626969045
3ejr_593,-141343.0560441843
3ejr_595,975527.4582180989
3ejr_598,1179808.6031144848
3ejr_599,-2115931.0786185972
3ejr_630,-689853.1499700513
3ejr_633,-845336.7299763674
3ejr_635,-2678518.0201095883
3ejr_644,1085534.3387182688
3ejr_655,-680101.5760744225
3ejr_663,419060.41333712335
3ejr_673,-755564.2706760154
3ejr_676,-1719375.6175815824
3ejr_682,-1167446.9900273874
3ejr_683,-1769545.9374257477
3ejr_686,-1400433.462223356
3ejr_690,-1875944.6429367436
3ejr_749,-3181681.262725039
3ejr_758,-2755080.4209961053
3ejr_759,-2939914.7349929237
3ejr_770,-3035262.155523969
3ejr_773,-2706733.677440448
3ejr_776,-3003816.58250465
3ejr_778,-3252060.316078482
3ejr_779,-2998972.142866496
3ejr_782,-2978640.49377181
3ejr_784,-2293433.658160898
3ejr_785,-2671317.4579230873
3ejr_853,-3026610.7296445468
3ejr_87,-3091289.546718243
3ejr_877,-2960704.578936561
3ejr_883,-2615268.727426122
3ejr_94,-2910063.2776552197
3ejr_941,-2605054.564842143
3ejr_949,-2658265.2339631324
3ejr_964,-2975226.9935086905
