#code,score
4ivb_142,-3421180.355521328
4ivb_253,-3634716.967339878
4ivb_423,-3220282.939337544
4ivb_425,-2873259.427760009
4ivb_428,-2255033.0053345794
4ivb_429,-2835598.7051880476
4ivb_436,-350087.769366712
4ivb_439,-3277505.697209731
4ivb_441,-1217366.2418974491
4ivb_442,-3070480.8023206787
4ivb_460,-3106417.505920024
4ivb_468,-2800982.75026834
4ivb_477,-1756574.0712291067
4ivb_479,-1396852.2036947506
4ivb_511,-2581328.294567645
4ivb_525,-2811046.305783225
4ivb_527,-2175782.374356885
4ivb_539,-1616049.3912933983
4ivb_547,-2349918.738577406
4ivb_552,-2820442.9511715383
4ivb_561,-1860811.5652398209
4ivb_563,-2510654.362008794
4ivb_565,-1885064.0910756085
4ivb_566,-2975911.8322673794
4ivb_577,-2089121.8662564168
4ivb_585,282847.32227710274
4ivb_586,-2169898.090682306
4ivb_587,-2424768.0760576683
4ivb_590,-2767882.951396685
4ivb_594,-2805601.271608465
4ivb_598,-66424.57630133783
4ivb_61,-3244758.5317917545
4ivb_615,-2146435.72049733
4ivb_620,-206769.77701507928
4ivb_625,-2095786.5802688831
4ivb_637,-2788179.4820951247
4ivb_649,-2299822.2782155857
4ivb_661,-2811598.715673229
4ivb_664,-758146.9590970889
4ivb_666,-2092721.963121992
4ivb_671,-545390.2999230468
4ivb_674,-1878423.1388500817
4ivb_734,-3343242.208939677
4ivb_741,-3045853.5082316715
4ivb_747,-2617024.2880329997
4ivb_748,-2971951.7099169046
4ivb_750,-2519517.5747178737
4ivb_752,-3210613.5833473084
4ivb_761,-3177341.08037202
4ivb_764,-2450501.798360615
4ivb_768,-2679358.220487626
4ivb_769,-2524785.0481806896
4ivb_771,-2688793.007074141
4ivb_772,-2238775.127929058
4ivb_773,-3029525.694748838
4ivb_776,-2243751.2481290293
4ivb_779,-2492466.83078941
4ivb_781,-1752015.5449809677
4ivb_783,-2391879.376380404
4ivb_784,-2282593.7217442584
4ivb_785,-2980543.1864191224
4ivb_787,-1517344.2591741467
4ivb_788,-1888255.4667697828
4ivb_791,-818355.4610764743
4ivb_794,-1995735.337580028
4ivb_795,-1822614.8249876972
4ivb_797,-894929.323670137
4ivb_845,-3425061.9284996055
4ivb_85,-3704919.1648850627
4ivb_875,-3153934.604156153
4ivb_884,-3060741.7287665866
4ivb_887,-3155055.870902808
4ivb_896,-2938448.8079206515
4ivb_897,-2825859.348326858
4ivb_947,-3398171.9712306634
4ivb_962,-3430728.671509391
