#code,score
2brb_128,-280.29679792544056
2brb_13,-283.12614424113656
2brb_146,-272.8409347158029
2brb_183,-254.70143399038716
2brb_214,-324.21239067476574
2brb_223,-320.4392656090548
2brb_246,-325.69687589104905
2brb_285,-290.3030399859205
2brb_302,-324.5051899722131
2brb_318,-315.8160677683293
2brb_361,-320.30509840734453
2brb_383,-316.87756793236423
2brb_405,-274.21814386887326
2brb_406,-223.95686416985404
2brb_408,91.6630857542823
2brb_425,-180.47275940924695
2brb_442,-221.18697716761494
2brb_449,195.40741175248002
2brb_452,-159.4940733811919
2brb_460,-204.9956391409289
2brb_466,-267.59350776786556
2brb_469,-81.76587714076528
2brb_474,-211.13520803212933
2brb_477,214.12143910789422
2brb_490,-7.294052947921466
2brb_494,129.65615546605517
2brb_501,-108.27674662463035
2brb_502,-175.79122301596414
2brb_514,-117.19370568069193
2brb_521,-154.14576203637927
2brb_522,-111.72715963018261
2brb_533,-212.0209391844622
2brb_539,-214.66706975056755
2brb_550,3.1448654887285272
2brb_558,-266.5286407474613
2brb_568,-211.10383363120692
2brb_582,-145.72676599499792
2brb_586,-222.86473559144838
2brb_593,-104.3580904694675
2brb_594,-196.2905634291408
2brb_596,-145.92570723431353
2brb_597,-214.1087407339395
2brb_601,-262.89243548893626
2brb_608,-110.34332868543639
2brb_624,-203.58145111719094
2brb_643,19.033669853711817
2brb_655,-167.62803003335728
2brb_666,-88.35473952293412
2brb_671,-214.64652027024522
2brb_672,-214.6244770694624
2brb_674,-17.736587824079734
2brb_675,-1.537452797978716
2brb_682,-171.35794761630754
2brb_693,103.10101420646933
2brb_696,-212.3610708725795
2brb_697,-9.059710507365713
2brb_705,-301.08198951565015
2brb_713,-290.2430446939908
2brb_743,-297.9394588487773
2brb_745,-280.09461275549063
2brb_751,-291.3327882038823
2brb_752,-300.3711482660557
2brb_754,-261.6021836582823
2brb_759,-224.5050102219186
2brb_85,-339.15347019329306
2brb_88,-317.70640328802415
2brb_94,-343.43668081032627
2brb_941,-305.1749569074684
