#code,score
3uuo_14,-265.34169186505636
3uuo_181,-274.51118774161375
3uuo_187,-288.43629851082744
3uuo_212,-275.28329523702723
3uuo_247,-285.59950496856555
3uuo_249,-133.34714392393465
3uuo_267,-272.43899782254664
3uuo_269,1.8458014237057512
3uuo_274,-252.71955732292358
3uuo_420,-203.57294129159675
3uuo_430,-125.05527801619836
3uuo_440,-43.036066009251606
3uuo_447,-140.23295998007623
3uuo_456,-210.07400727289559
3uuo_471,130.38282210508382
3uuo_497,-121.60379750179322
3uuo_503,-2.9571521743673834
3uuo_522,284.70936149281476
3uuo_523,-101.27235291077733
3uuo_525,-202.30219076035388
3uuo_526,-168.2970234243397
3uuo_528,1.7841516211156474
3uuo_543,-236.7844396053085
3uuo_546,-136.32047215592507
3uuo_550,969.9422831825267
3uuo_556,-8.536360605308344
3uuo_567,187.60648075545743
3uuo_568,499.0168744585647
3uuo_571,-146.5802999883023
3uuo_582,198.76030732624832
3uuo_588,156.19363387628326
3uuo_590,24.891711522229155
3uuo_593,-97.39559034389133
3uuo_607,-134.25991919539632
3uuo_609,-105.69413989470947
3uuo_614,-44.13123943612153
3uuo_619,-130.75051224247315
3uuo_625,-85.85674241978222
3uuo_628,-71.97070225225413
3uuo_635,-194.93343982817316
3uuo_636,216.97626202411215
3uuo_645,-142.2697390881638
3uuo_668,-188.52650378919174
3uuo_669,727.0525930473511
3uuo_674,54.98810106726357
3uuo_677,-49.434811469485396
3uuo_695,362.70180078132006
3uuo_7,-281.494641018555
3uuo_709,-283.7879126610587
3uuo_711,-286.96244766924576
3uuo_712,-274.03138357687493
3uuo_721,-259.17655913940536
3uuo_724,-232.87049145400607
3uuo_726,-256.0295891962015
3uuo_734,-212.51414362344283
3uuo_739,-218.33345290075886
3uuo_744,-239.17831482053444
3uuo_752,-230.42393839534827
3uuo_757,-235.63667457182606
3uuo_759,-209.74379021491882
3uuo_772,-201.0768077213418
3uuo_777,-177.76871405543892
3uuo_781,-219.7925751940846
3uuo_783,-185.0956634580561
3uuo_799,-227.69699057856226
3uuo_815,-221.6178951766454
3uuo_842,-241.01696556397823
3uuo_843,-222.69519267438616
3uuo_849,-246.48029865465068
3uuo_850,-211.61109440968085
3uuo_865,-243.91584687364738
3uuo_871,-246.79275300344761
3uuo_881,-242.23241814984837
3uuo_888,-241.2834357601095
3uuo_889,-212.07213053058751
3uuo_890,-205.0165734150505
3uuo_892,-210.4424074612509
3uuo_943,-279.2828753487911
3uuo_952,-234.0845827851476
3uuo_968,-268.4724668897818
3uuo_981,-242.07548308987637
3uuo_982,-236.18847996159644
