#code,score
4eo8_12,-361.32695614573834
4eo8_14,-336.8023614521397
4eo8_148,-327.1091942605577
4eo8_15,-294.14592697904493
4eo8_206,-342.3757126266791
4eo8_283,-339.0830226481377
4eo8_30,-347.89942259061985
4eo8_318,-354.40145626118283
4eo8_319,-243.86014755901658
4eo8_40,-344.38594047242464
4eo8_403,399.8657253133844
4eo8_404,234.62111142545032
4eo8_409,432.03774941192864
4eo8_414,126.7255467966621
4eo8_425,-78.11495102575303
4eo8_429,-198.9578006838574
4eo8_438,348.74124464900456
4eo8_441,313.13339335015996
4eo8_450,214.90478473298734
4eo8_454,552.8966612851352
4eo8_457,484.2357442782562
4eo8_462,247.56464650022613
4eo8_467,596.5238315375624
4eo8_47,-304.3277692881515
4eo8_473,236.43644588575222
4eo8_480,95.47544257993107
4eo8_483,668.8065980065068
4eo8_486,738.2531301456345
4eo8_488,-14.070695033690235
4eo8_515,-174.52811617640432
4eo8_518,-222.85163341956655
4eo8_523,-5.182777678660573
4eo8_524,119.7356409286392
4eo8_533,-165.8377532289077
4eo8_536,-264.7049406094371
4eo8_552,-168.07414154479534
4eo8_557,-62.752151943831635
4eo8_564,-199.66625427769992
4eo8_567,29.641182943521546
4eo8_569,-236.30118760964908
4eo8_572,123.38699462989557
4eo8_578,-194.42878806342662
4eo8_579,34.36837246661135
4eo8_580,60.47440534252904
4eo8_584,-182.21759288906935
4eo8_592,-191.6599271577083
4eo8_595,-53.82019807598597
4eo8_597,-130.38584584085828
4eo8_598,177.42606190083924
4eo8_602,73.45664973695197
4eo8_611,3.9153288430843887
4eo8_619,-87.7522646170857
4eo8_622,393.09147874986775
4eo8_63,-353.6688667885125
4eo8_638,-13.458511876443104
4eo8_642,60.73649641083044
4eo8_654,-66.4787853185254
4eo8_670,-126.36652990533516
4eo8_673,-150.10221512256734
4eo8_690,144.73895040575792
4eo8_692,211.55694523189916
4eo8_695,118.5302242024308
4eo8_698,149.73979335316727
4eo8_7,-266.6688587459089
4eo8_744,-295.7132473571511
4eo8_748,-304.069275705602
4eo8_753,-245.56024615068458
4eo8_756,-248.96105592617272
4eo8_762,-296.2593095929783
4eo8_766,-255.0222104768046
4eo8_773,-292.79955526908907
4eo8_781,-200.6515263931166
4eo8_782,-245.9411473822956
4eo8_783,-271.4517873509716
4eo8_864,-322.48989942649973
4eo8_880,-251.24570652329703
4eo8_883,-250.5297742045355
4eo8_886,-203.79903851481626
4eo8_9,-222.79816249343506
4eo8_91,-331.6803682073294
