#code,score
3p5o_104,71.66475803099819
3p5o_108,72.71782103143188
3p5o_114,76.21642094656887
3p5o_126,72.22640376553267
3p5o_141,55.3533172752459
3p5o_165,73.13489950320607
3p5o_236,79.13208132327223
3p5o_238,76.15510379670432
3p5o_267,75.53061495752776
3p5o_287,78.13986537859898
3p5o_413,-384.85015824040937
3p5o_414,-80.65210929461138
3p5o_424,-260.2655043963691
3p5o_427,5.9543547025613766
3p5o_429,-22.295932455784932
3p5o_439,-126.76161643043457
3p5o_440,-19.164957531556745
3p5o_442,-157.2024966185957
3p5o_443,-262.35980957203856
3p5o_452,-152.51390021706797
3p5o_456,-109.61479146148201
3p5o_457,-250.13651060684282
3p5o_462,-162.13693800949886
3p5o_467,-92.73340823548979
3p5o_471,-105.87803130748212
3p5o_510,10.785215777155624
3p5o_513,-31.73096436192338
3p5o_517,7.496608091127525
3p5o_518,47.407066270749866
3p5o_521,4.669554999967947
3p5o_531,16.308705364937687
3p5o_538,-18.072134908654157
3p5o_540,-154.65565743507963
3p5o_543,31.966296254204984
3p5o_551,53.19123555854299
3p5o_566,24.420657243929742
3p5o_567,24.80092684136361
3p5o_568,-66.82262351909132
3p5o_569,41.327672944150486
3p5o_570,-19.8392636563143
3p5o_576,38.89952896856809
3p5o_581,22.075416106054057
3p5o_588,20.242353722625207
3p5o_594,30.863272989866715
3p5o_595,36.756328216959666
3p5o_596,-54.840173697519056
3p5o_597,16.366012319122248
3p5o_632,-1.456283249356515
3p5o_650,-84.23936627458401
3p5o_652,15.160788498207893
3p5o_658,-47.345264156905955
3p5o_679,-56.35104416648599
3p5o_680,34.89660541576593
3p5o_686,-19.38832499485013
3p5o_689,-26.88644008794623
3p5o_690,-20.22607645495015
3p5o_692,-38.389821920553864
3p5o_694,37.86803730138077
3p5o_695,-29.648191108645225
3p5o_700,-81.37814478321744
3p5o_724,54.83964361572365
3p5o_737,65.08547577905993
3p5o_752,51.61313905078205
3p5o_759,78.97033582486627
3p5o_818,77.01723607837532
3p5o_835,74.75486774102237
3p5o_840,74.4335338816633
3p5o_853,70.76489817821567
3p5o_926,71.37751235726358
3p5o_93,79.6821172192705
