#code,score
3n86_265,-19.22193635478111
3n86_404,-19.22193635478111
3n86_405,-19.22193635478111
3n86_412,-19.22193635478111
3n86_419,-19.22193635478111
3n86_420,-19.22193635478111
3n86_424,-19.22193635478111
3n86_430,-19.22193635478111
3n86_432,-19.22193635478111
3n86_433,-19.22193635478111
3n86_436,-19.22193635478111
3n86_438,-19.22193635478111
3n86_443,-19.22193635478111
3n86_451,-19.22193635478111
3n86_460,-19.22193635478111
3n86_462,-19.22193635478111
3n86_465,-19.22193635478111
3n86_467,-19.22193635478111
3n86_468,-19.22193635478111
3n86_472,-19.22193635478111
3n86_475,-19.22193635478111
3n86_477,-19.22193635478111
3n86_480,-19.22193635478111
3n86_483,-19.22193635478111
3n86_485,-19.22193635478111
3n86_486,-19.22193635478111
3n86_487,-19.22193635478111
3n86_491,-19.22193635478111
3n86_500,-19.22193635478111
3n86_509,-19.22193635478111
3n86_531,-19.22193635478111
3n86_532,-19.22193635478111
3n86_54,-19.22193635478111
3n86_557,-19.22193635478111
3n86_563,-19.22193635478111
3n86_574,-19.22193635478111
3n86_586,-19.22193635478111
3n86_595,-19.22193635478111
3n86_596,-19.22193635478111
3n86_610,-19.22193635478111
3n86_639,-19.22193635478111
3n86_657,-19.22193635478111
3n86_662,-19.22193635478111
3n86_664,-19.22193635478111
3n86_665,-19.22193635478111
3n86_666,-19.22193635478111
3n86_674,-19.22193635478111
3n86_676,-19.22193635478111
3n86_680,-19.22193635478111
3n86_690,-19.22193635478111
3n86_768,-19.22193635478111
3n86_859,-19.22193635478111
3n86_861,-19.22193635478111
3n86_870,-19.22193635478111
3n86_878,-19.22193635478111
3n86_99,-19.22193635478111
