#code,score
1bzc_101,-24515.04208500009
1bzc_111,-24567.641115531012
1bzc_142,-27795.95896292015
1bzc_190,-28315.474486895044
1bzc_217,-28610.062367477403
1bzc_223,-28277.063182889447
1bzc_225,-27259.935766359828
1bzc_260,-24718.800834550297
1bzc_265,-26049.278185527677
1bzc_300,-27041.386891004964
1bzc_323,-29106.23635988489
1bzc_375,-28905.425866232108
1bzc_409,49698.326527004516
1bzc_412,34197.82525601205
1bzc_414,7424.751792940774
1bzc_427,51709.83052021471
1bzc_43,-28151.326480104057
1bzc_439,110563.84496782655
1bzc_440,22512.76343776889
1bzc_443,41613.13994796748
1bzc_449,10019.451450812647
1bzc_461,15225.41724866952
1bzc_463,121684.1001568498
1bzc_464,51337.60183132141
1bzc_466,-3745.1362989942036
1bzc_469,-20325.548422172127
1bzc_473,18759.654939411157
1bzc_481,52681.89506177081
1bzc_487,76446.52656806227
1bzc_502,-19973.75668513986
1bzc_504,-9985.547439310167
1bzc_522,-4856.107840788292
1bzc_524,-7447.516834024989
1bzc_526,3157.364918727851
1bzc_527,-17810.39249947101
1bzc_530,-16799.70004357468
1bzc_539,-3050.5048393298603
1bzc_546,3678.3889628733277
1bzc_549,-19637.167923706096
1bzc_556,-12232.04811539247
1bzc_558,21371.88407263058
1bzc_566,-11813.329989958727
1bzc_577,-3442.0917097814663
1bzc_579,-224.82063897976082
1bzc_588,-1770.9744252805326
1bzc_592,-5296.058029445363
1bzc_593,-18923.330483403857
1bzc_597,1334.6162487495685
1bzc_608,-7256.269632659301
1bzc_611,14016.41347419055
1bzc_614,10540.512262110742
1bzc_615,4892.634252740477
1bzc_620,-3937.909815532459
1bzc_622,1136.114928436778
1bzc_625,21176.858741425698
1bzc_629,9423.947719366315
1bzc_633,6265.7383742667525
1bzc_644,12881.795130076325
1bzc_651,1577.7649517773445
1bzc_652,18790.655550174844
1bzc_659,-5575.299417347751
1bzc_660,-5272.948656442895
1bzc_664,21813.268773402968
1bzc_666,-3558.8541145049176
1bzc_669,11580.679913408505
1bzc_670,-11923.3437139759
1bzc_671,10509.336510346035
1bzc_674,30640.380272197617
1bzc_677,-16997.858664240826
1bzc_681,15181.154372130048
1bzc_682,1084.0863472067485
1bzc_686,6405.9199347041
1bzc_688,9985.753870213843
1bzc_690,-9548.97728353665
1bzc_694,3199.618604983927
1bzc_700,23906.65696829208
1bzc_709,-28110.0462923531
1bzc_778,-21352.08978661777
1bzc_963,-24700.213091235797
