#code,score
2v00_103,-19.043892377509454
2v00_107,-19.060417039583477
2v00_120,-19.040330675402476
2v00_136,-19.045644761990378
2v00_143,-19.042714749315596
2v00_145,-19.040271778383392
2v00_159,-19.217254542100275
2v00_183,-19.052695087302492
2v00_193,-19.04097584621165
2v00_198,-19.066255350926284
2v00_325,-19.040521171065247
2v00_395,-19.04038060106454
2v00_401,-19.298593558169014
2v00_416,-19.05004115321375
2v00_422,-19.042263728551234
2v00_424,-19.050573125147793
2v00_428,-19.912881723450923
2v00_432,-19.06759781424143
2v00_433,-19.040223549383914
2v00_434,-19.040309239606387
2v00_444,-20.58418957820588
2v00_451,-19.04088171408269
2v00_454,-19.040276878141526
2v00_461,-19.040215358658088
2v00_468,-20.136180359587613
2v00_472,-19.058605796243448
2v00_473,-19.041944580779536
2v00_474,-19.201929586526475
2v00_484,-20.164703559971738
2v00_488,-22.732679364862527
2v00_506,-19.439867749510764
2v00_512,-19.040227501323752
2v00_513,-19.04028084147343
2v00_516,-19.04271470339702
2v00_522,-19.040262410745896
2v00_523,-19.05002447902717
2v00_544,-19.04024516683228
2v00_551,-19.13213510302301
2v00_556,-20.58204662917516
2v00_558,-20.838512910319796
2v00_559,-19.04267041188996
2v00_564,-19.498308612690114
2v00_573,-33.729404540647245
2v00_574,-25.32242609909624
2v00_576,-19.032117862589537
2v00_579,-19.245435064091307
2v00_589,-19.040715030709908
2v00_592,-25.708100699948176
2v00_605,-19.137436877597285
2v00_619,-19.931421336155818
2v00_635,-22.050677458438866
2v00_638,-19.332199136556188
2v00_644,-19.574736245953403
2v00_653,-19.09298354964499
2v00_661,-21.962933736283524
2v00_665,-19.49419966283435
2v00_670,-19.0622074364741
2v00_674,-19.04024390986589
2v00_676,-30.0974765786928
2v00_684,-22.616218707159636
2v00_692,-24.99459802305351
2v00_700,-19.075862489359633
2v00_736,-19.05543680806391
2v00_755,-19.040300928225744
2v00_759,-19.049799719111533
2v00_760,-19.094447939559664
2v00_762,-19.041661173306366
2v00_771,-19.04042268933735
2v00_774,-20.189440997990065
2v00_776,-19.0571807968714
2v00_777,-19.05316044127901
2v00_778,-19.040701934999415
2v00_782,-19.042483998615296
2v00_785,-19.04175458277511
2v00_786,-19.04023464289863
2v00_79,-19.040217633864913
2v00_790,-19.04194931449708
2v00_791,-19.041069136309098
2v00_798,-19.16600082641479
2v00_800,-19.14887616317018
2v00_856,-19.04043805432021
2v00_860,-19.041252631335084
2v00_861,-19.04035873385634
2v00_903,-19.040236013955475
