#code,score
3f3d_211,-19.040225342096118
3f3d_251,-19.04075182994628
3f3d_255,-19.040226817669783
3f3d_287,-19.040833760835408
3f3d_295,-19.04023445942386
3f3d_319,-19.04023918664207
3f3d_33,-19.040239495005366
3f3d_363,-19.040264018845626
3f3d_377,-19.040221046108492
3f3d_401,-19.048006587757058
3f3d_424,-19.051696068767903
3f3d_433,-19.044575065773966
3f3d_435,-19.040519591158024
3f3d_444,-20.260550081384658
3f3d_450,-19.055830819214325
3f3d_454,-21.00943438501911
3f3d_457,-19.043869515590952
3f3d_464,-19.066301759820856
3f3d_469,-19.041276982461817
3f3d_477,-19.040546642816388
3f3d_482,-23.867639659563665
3f3d_484,-27.14430287034415
3f3d_500,-19.128078290976323
3f3d_516,-19.118333533452105
3f3d_526,-19.08731100318826
3f3d_529,-19.04849669207014
3f3d_554,-19.046615377382516
3f3d_574,-18.96466134858954
3f3d_588,-19.050838156062348
3f3d_591,-19.050688964777247
3f3d_596,-18.171985828042946
3f3d_601,-19.345434182940764
3f3d_614,-20.961698873102122
3f3d_62,-19.04036701223231
3f3d_629,-19.883052711053605
3f3d_634,-21.725819778850713
3f3d_644,-19.069894635629016
3f3d_653,-18.52466872890862
3f3d_663,-19.89862338751435
3f3d_666,-19.145519627855673
3f3d_682,-20.33939813588068
3f3d_692,-19.049682521112707
3f3d_771,-19.09797122455176
3f3d_774,-19.041233859215556
3f3d_775,-19.05500088736545
3f3d_787,-19.04259143989468
3f3d_791,-19.52667032367669
3f3d_797,-19.04021535865808
3f3d_798,-18.868696640056317
3f3d_99,-19.04034475548773
