#code,score
2hb1_102,-39.178627
2hb1_134,-44.445473
2hb1_148,-43.338314
2hb1_149,-41.26448
2hb1_167,-43.55019
2hb1_175,-34.137943
2hb1_313,-43.70582
2hb1_330,-42.49313
2hb1_376,-42.759205
2hb1_408,-40.99814
2hb1_417,-38.91574
2hb1_424,-33.287403
2hb1_427,-39.27226
2hb1_438,-40.730846
2hb1_440,-35.642433
2hb1_447,-38.301773
2hb1_448,-37.88668
2hb1_457,-40.587654
2hb1_463,-35.6635
2hb1_477,-35.821564
2hb1_480,-43.908493
2hb1_485,-47.549583
2hb1_495,-38.261745
2hb1_504,-33.901527
2hb1_559,-44.564434
2hb1_562,-41.457314
2hb1_573,-38.920322
2hb1_574,-46.991314
2hb1_613,-44.748535
2hb1_640,-39.299995
2hb1_642,-41.71653
2hb1_664,-34.750275
2hb1_666,-34.964233
2hb1_675,-43.67678
2hb1_689,-47.169308
2hb1_690,-44.696495
2hb1_695,-43.733032
2hb1_763,-45.73603
2hb1_772,-33.527843
2hb1_785,-44.92921
2hb1_981,-46.666225
