#code,score
4e6q_12,-36.31145
4e6q_120,-29.509117
4e6q_132,-30.568449
4e6q_143,-30.217789
4e6q_226,-30.269726
4e6q_249,-25.727959
4e6q_265,-31.12323
4e6q_301,-33.017414
4e6q_402,-27.693514
4e6q_406,-31.432295
4e6q_409,-25.87629
4e6q_420,-33.527233
4e6q_422,-32.03554
4e6q_423,-26.2599
4e6q_426,-27.822645
4e6q_430,-28.345894
4e6q_435,-28.06355
4e6q_449,-27.471703
4e6q_459,-28.134178
4e6q_468,-33.655617
4e6q_477,-25.145067
4e6q_483,-31.64861
4e6q_487,-28.484846
4e6q_491,-27.50924
4e6q_496,-37.765533
4e6q_499,-25.770681
4e6q_536,-29.602297
4e6q_540,-38.552444
4e6q_545,-29.469212
4e6q_547,-38.36814
4e6q_558,-36.318977
4e6q_561,-36.533348
4e6q_563,-33.47435
4e6q_568,-39.853336
4e6q_573,-26.88006
4e6q_577,-24.403566
4e6q_578,-39.091606
4e6q_580,-34.52176
4e6q_586,-28.502398
4e6q_587,-33.385403
4e6q_635,-26.423906
4e6q_643,-31.131971
4e6q_645,-30.394327
4e6q_646,-30.01118
4e6q_666,-38.57969
4e6q_673,-38.142105
4e6q_680,-33.907455
4e6q_689,-37.895496
4e6q_697,-33.200806
4e6q_699,-25.71677
4e6q_730,-17.707243
4e6q_734,-37.66891
4e6q_739,-32.64154
4e6q_742,-31.139406
4e6q_743,-37.844894
4e6q_746,-35.601032
4e6q_747,-23.374107
4e6q_748,-38.424835
4e6q_749,-39.430576
4e6q_752,-30.01147
4e6q_756,-34.26649
4e6q_757,-32.456127
4e6q_759,-34.37079
4e6q_760,-36.03506
4e6q_763,-34.455112
4e6q_764,-25.783468
4e6q_771,-20.111938
4e6q_776,-30.672695
4e6q_780,-29.746159
4e6q_785,-35.051544
4e6q_786,-39.92134
4e6q_788,-35.38482
4e6q_791,-35.082115
4e6q_798,-35.50497
4e6q_847,-30.946272
4e6q_85,-30.631453
4e6q_873,-29.75001
4e6q_884,-21.440872
4e6q_891,-32.178047
4e6q_895,-33.027275
4e6q_936,-28.817081
