#code,score
4qd6_103,-30.850746
4qd6_160,-29.535442
4qd6_167,-28.587097
4qd6_187,-29.523705
4qd6_207,-30.849928
4qd6_219,-27.535841
4qd6_230,-28.779951
4qd6_265,-27.686176
4qd6_268,-24.524302
4qd6_276,-28.804075
4qd6_290,-26.537308
4qd6_294,-28.058517
4qd6_298,-27.72899
4qd6_302,-26.609632
4qd6_312,-28.943651
4qd6_339,-30.300293
4qd6_346,-30.589954
4qd6_347,-31.37447
4qd6_387,-25.06253
4qd6_390,-32.15909
4qd6_397,-29.25794
4qd6_408,-28.612415
4qd6_414,-33.208557
4qd6_428,-29.855457
4qd6_429,-24.421371
4qd6_44,-23.001492
4qd6_448,-26.264406
4qd6_449,-37.023975
4qd6_460,-22.34093
4qd6_465,-25.954481
4qd6_471,-21.694345
4qd6_473,-26.117521
4qd6_475,-30.170416
4qd6_490,-29.17581
4qd6_501,-25.256763
4qd6_507,-25.242687
4qd6_511,-28.455536
4qd6_516,-27.782656
4qd6_518,-34.780857
4qd6_519,-24.966904
4qd6_520,-23.792425
4qd6_528,-25.652922
4qd6_529,-28.568754
4qd6_540,-24.41485
4qd6_547,-29.515705
4qd6_568,-23.822931
4qd6_573,-23.959202
4qd6_574,-24.148527
4qd6_578,-26.698349
4qd6_58,-26.583017
4qd6_588,-24.31972
4qd6_593,-29.6009
4qd6_6,-28.754074
4qd6_612,-30.281145
4qd6_614,-29.271004
4qd6_62,-26.168348
4qd6_621,-24.051542
4qd6_623,-30.694654
4qd6_639,-27.139572
4qd6_642,-26.201689
4qd6_653,-29.930725
4qd6_671,-32.289047
4qd6_673,-35.260048
4qd6_674,-29.133589
4qd6_675,-26.563778
4qd6_678,-27.927212
4qd6_681,-28.418835
4qd6_683,-23.387743
4qd6_687,-25.90239
4qd6_700,-23.791338
4qd6_707,-29.000748
4qd6_708,-29.76239
4qd6_709,-31.19497
4qd6_714,-27.338898
4qd6_737,-27.185818
4qd6_790,-27.214127
4qd6_82,-28.567911
4qd6_825,-27.673216
4qd6_835,-30.597328
4qd6_84,-28.500574
4qd6_847,-27.214127
4qd6_85,-30.3165
4qd6_925,-30.113628
4qd6_934,-30.348755
4qd6_939,-30.069252
4qd6_942,-31.082832
4qd6_948,-30.563215
4qd6_954,-29.696579
4qd6_958,-28.732893
4qd6_960,-29.834358
4qd6_971,-30.609781
4qd6_975,-28.336538
4qd6_978,-28.229078
