#code,score
3gr2_102,9.646322
3gr2_118,9.468529
3gr2_12,9.21388
3gr2_122,9.030098
3gr2_132,9.4834585
3gr2_151,9.383118
3gr2_186,9.4983425
3gr2_187,9.668693
3gr2_205,10.165842
3gr2_220,10.104452
3gr2_226,9.643108
3gr2_239,10.4597225
3gr2_254,8.992382
3gr2_262,8.75132
3gr2_277,9.033874
3gr2_279,8.841592
3gr2_337,9.24933
3gr2_409,9.65826
3gr2_410,8.800748
3gr2_415,9.433446
3gr2_421,9.920232
3gr2_424,7.854959
3gr2_446,8.361205
3gr2_449,8.965527
3gr2_451,7.8532286
3gr2_458,9.458789
3gr2_460,9.375235
3gr2_466,8.984733
3gr2_474,9.091107
3gr2_476,9.09909
3gr2_493,9.561599
3gr2_526,8.963319
3gr2_540,9.534666
3gr2_541,9.204576
3gr2_545,10.494459
3gr2_560,10.005261
3gr2_568,9.12515
3gr2_580,10.54135
3gr2_581,9.953662
3gr2_585,9.921276
3gr2_592,8.760867
3gr2_624,9.806485
3gr2_663,9.871765
3gr2_665,9.994018
3gr2_669,8.658749
3gr2_684,10.054877
3gr2_686,9.315702
3gr2_701,8.155661
3gr2_717,9.849973
3gr2_722,10.36622
3gr2_732,9.371869
3gr2_735,10.262314
3gr2_737,9.122452
3gr2_738,10.2647085
3gr2_742,10.399038
3gr2_743,10.459196
3gr2_745,9.794206
3gr2_747,8.961607
3gr2_756,9.210847
3gr2_758,8.412454
3gr2_761,8.020013
3gr2_762,9.225054
3gr2_764,7.7862945
3gr2_765,10.590764
3gr2_766,9.45489
3gr2_771,8.9848585
3gr2_776,7.900584
3gr2_779,9.179856
3gr2_783,9.146456
3gr2_786,7.7267756
3gr2_820,7.855935
3gr2_835,7.640507
3gr2_841,10.656193
3gr2_853,9.911819
3gr2_858,9.30012
3gr2_867,9.151471
3gr2_872,8.2032
3gr2_879,8.869826
3gr2_973,8.052492
3gr2_978,10.645459
