#code,score
3u5j_124,9.625539
3u5j_143,8.921509
3u5j_147,8.63857
3u5j_174,8.727494
3u5j_195,10.014843
3u5j_20,8.887533
3u5j_203,10.12483
3u5j_213,9.133832
3u5j_233,9.021953
3u5j_24,9.431659
3u5j_251,9.276855
3u5j_257,9.021953
3u5j_268,9.4709635
3u5j_290,8.967326
3u5j_294,9.276855
3u5j_419,10.20571
3u5j_421,8.926527
3u5j_434,9.412744
3u5j_439,9.206502
3u5j_458,8.930766
3u5j_47,8.924787
3u5j_475,9.273248
3u5j_481,10.003716
3u5j_482,8.951243
3u5j_491,9.142587
3u5j_493,9.07148
3u5j_497,8.761821
3u5j_498,9.864717
3u5j_505,9.13937
3u5j_526,7.9419956
3u5j_536,10.201568
3u5j_54,9.021953
3u5j_557,9.182749
3u5j_561,9.331852
3u5j_563,10.739607
3u5j_566,9.135799
3u5j_574,9.115455
3u5j_576,9.16326
3u5j_578,9.162482
3u5j_580,10.638295
3u5j_584,8.971953
3u5j_589,9.928228
3u5j_591,9.1472645
3u5j_593,8.770736
3u5j_603,9.368503
3u5j_62,9.164976
3u5j_620,8.991012
3u5j_639,9.005056
3u5j_65,9.133832
3u5j_690,8.979412
3u5j_710,9.336655
3u5j_723,9.509118
3u5j_728,8.249084
3u5j_731,8.093342
3u5j_733,7.813577
3u5j_736,9.885446
3u5j_746,8.579633
3u5j_756,9.217062
3u5j_757,8.959906
3u5j_759,9.234997
3u5j_764,9.810523
3u5j_773,9.126541
3u5j_803,9.164976
3u5j_830,8.262514
3u5j_845,9.682161
3u5j_858,7.7011056
3u5j_894,9.0295315
3u5j_928,9.016613
3u5j_968,8.745435
3u5j_972,9.526181
3u5j_974,9.035988
