#code,score
5dwr_144,-6413046.3572102925
5dwr_148,-5986591.118427123
5dwr_157,-6386325.69407662
5dwr_162,-5593024.870652529
5dwr_166,-5346344.243414633
5dwr_193,-5150519.025694812
5dwr_200,-5796970.18676273
5dwr_215,-6382114.06835853
5dwr_286,-6554930.775821395
5dwr_289,-5342067.615068232
5dwr_297,-6032905.74040425
5dwr_312,-2303023.8273644545
5dwr_382,-5361393.174448848
5dwr_401,-9686701.732125653
5dwr_404,-8305048.846327408
5dwr_411,-8188716.126840613
5dwr_412,-7768235.981800629
5dwr_419,-11151851.953873314
5dwr_425,-7682658.951406494
5dwr_431,-5597062.468259522
5dwr_441,-9404848.645195583
5dwr_442,-5755692.174917256
5dwr_451,-9171240.90921158
5dwr_461,-8517733.412139997
5dwr_466,-5440534.302590893
5dwr_467,-11464231.603713356
5dwr_475,-11120160.994869107
5dwr_480,-9917280.707992824
5dwr_484,-6922453.963299712
5dwr_489,-10320437.110316364
5dwr_490,-7466187.124212583
5dwr_497,-8150897.112415134
5dwr_498,-7214311.40141906
5dwr_504,-7802917.426078992
5dwr_508,-4177376.4537521354
5dwr_518,-1895425.6196006164
5dwr_521,-5570320.923458692
5dwr_527,-7495238.818787125
5dwr_534,-2425956.181719985
5dwr_542,-6554268.216291375
5dwr_559,-5914915.088174494
5dwr_560,-9785694.152629744
5dwr_568,-4947357.913450693
5dwr_574,-4434338.950498234
5dwr_584,-6951780.190645455
5dwr_588,-1733857.4009119323
5dwr_598,-3691318.5665644743
5dwr_604,-3709842.3207802013
5dwr_610,-3801660.8469849112
5dwr_612,-7525889.49781584
5dwr_614,-8657873.563415146
5dwr_626,-2946661.3517977707
5dwr_628,-7129961.574292989
5dwr_633,-7637030.225328259
5dwr_635,-2788724.935682332
5dwr_636,-4849620.168819686
5dwr_637,-6861990.698924953
5dwr_638,-4319826.008883632
5dwr_640,-7352727.066774726
5dwr_642,-6602100.988468469
5dwr_649,-360055.9923032452
5dwr_654,-5278082.985672276
5dwr_663,-2817625.5107438555
5dwr_666,-3422301.82189865
5dwr_669,-7681410.00563075
5dwr_671,-5984425.147261092
5dwr_675,-7129653.65860162
5dwr_676,-1716397.353490569
5dwr_677,-3632465.199288416
5dwr_680,-5055906.852337245
5dwr_686,-6748059.4835083075
5dwr_691,-10060908.632141624
5dwr_693,-4186436.604703576
5dwr_695,-8529478.80327236
5dwr_697,-5531906.0446523
5dwr_699,-9544153.39364908
5dwr_702,-7212722.768301788
5dwr_710,-5341122.718814446
5dwr_711,-3539863.636744891
5dwr_720,-942268.8552864075
5dwr_745,-8413749.879116848
5dwr_76,-4660191.462736531
5dwr_875,-2225863.645298808
5dwr_96,-6084823.372759727
