#code,score
3b5r_161,-945.9872550501535
3b5r_217,-970.862486851287
3b5r_219,-977.7772813230324
3b5r_220,-981.8478484727532
3b5r_228,-974.1207427037796
3b5r_260,-968.2997764333281
3b5r_267,-984.977838914874
3b5r_283,-995.0754213600702
3b5r_317,-962.1599032825937
3b5r_331,-966.2040211100641
3b5r_354,-968.3543874187048
3b5r_363,-977.0067445181695
3b5r_409,-908.5141021014734
3b5r_413,-807.6340706636669
3b5r_428,-869.8681686004992
3b5r_432,-752.2887441606302
3b5r_443,-684.9121949752865
3b5r_465,-954.3202229028271
3b5r_468,-724.8887705864686
3b5r_470,-754.6970977325952
3b5r_472,-803.9104642446837
3b5r_477,-652.542627767111
3b5r_486,-561.0610071445099
3b5r_527,-904.5797293259764
3b5r_531,-849.3367501341128
3b5r_537,-844.7123454771604
3b5r_55,-971.4000834986673
3b5r_550,-861.5968650280206
3b5r_557,-824.9490070732872
3b5r_568,-955.0529218463836
3b5r_571,-650.6959618194156
3b5r_574,-870.3537996051267
3b5r_575,-874.9499357626225
3b5r_578,-836.7472838727209
3b5r_581,-817.2889850363765
3b5r_592,-538.055483289209
3b5r_615,-914.7490298626808
3b5r_620,-961.5953345666916
3b5r_625,-1023.6723462761777
3b5r_627,-761.4926155185152
3b5r_646,-1011.0172072951423
3b5r_648,-885.5737354174582
3b5r_649,-534.5236650660595
3b5r_652,-888.4061352566772
3b5r_656,-865.9311914282665
3b5r_658,-852.8709732657106
3b5r_659,-972.8683198954516
3b5r_666,-927.0671276999831
3b5r_668,-890.0613074106558
3b5r_669,-865.8712269710003
3b5r_678,-904.7560638260708
3b5r_680,-765.1992669148323
3b5r_683,-941.0215249942723
3b5r_697,-758.2576693189636
3b5r_763,-972.3154728111423
3b5r_770,-962.4223298445138
3b5r_772,-951.172429530281
3b5r_776,-1000.3664608815852
3b5r_781,-927.5213776283774
3b5r_789,-954.120518194607
3b5r_792,-1025.5479077297643
3b5r_796,1371.511084170723
3b5r_911,-987.2564449611948
3b5r_969,-969.4819796616175
