#code,score
3bgz_115,-772.9282064207742
3bgz_138,-764.8425043325198
3bgz_166,-756.6479394063256
3bgz_289,-767.2206097291096
3bgz_303,-698.7655623994598
3bgz_37,-781.6039547604196
3bgz_401,-723.0408101953674
3bgz_415,-606.3031869714048
3bgz_418,-644.6573867939335
3bgz_422,-611.670994264
3bgz_424,-595.8031439927722
3bgz_434,-700.3060312276762
3bgz_437,-673.5609751712107
3bgz_440,-607.7400622246407
3bgz_446,-576.8261064077757
3bgz_451,-682.9707102645873
3bgz_452,-520.1645681045142
3bgz_456,-700.6283139519533
3bgz_464,-656.06951415703
3bgz_465,-691.6089111238547
3bgz_472,-517.8707641767132
3bgz_479,-836.353532510836
3bgz_486,-637.9152256464979
3bgz_501,-744.1485343553616
3bgz_505,-777.9366636243371
3bgz_51,-774.8371083346394
3bgz_533,-507.27586079247686
3bgz_536,-658.0331470943082
3bgz_538,-483.6266538847929
3bgz_540,-470.01469833224104
3bgz_549,-521.0451777119256
3bgz_551,-671.6101924438692
3bgz_571,-498.714195951381
3bgz_578,-442.65135340341584
3bgz_580,-669.022611107586
3bgz_586,-588.8325050006489
3bgz_590,-492.77666989842595
3bgz_593,-500.9933015333715
3bgz_596,-474.5272830645853
3bgz_600,-619.2576096744193
3bgz_601,-736.4638147950443
3bgz_606,-810.0397932314174
3bgz_611,-741.0445792974649
3bgz_621,-710.1410888015816
3bgz_626,-669.5681034968877
3bgz_628,-540.7447037219802
3bgz_637,-734.312317227658
3bgz_643,-622.6585315298108
3bgz_653,-675.2238925775372
3bgz_687,-739.1870697439201
3bgz_689,-595.110400280533
3bgz_694,-562.9989680333736
3bgz_697,-623.605555962804
3bgz_740,-664.0895160947166
3bgz_766,-540.394498273534
3bgz_779,-589.4894508375962
3bgz_784,-466.4424591370677
3bgz_791,-464.79959431474396
3bgz_795,-766.9409719189388
3bgz_796,-598.8340146419537
3bgz_81,-742.1907494771715
3bgz_844,-732.3844658167832
3bgz_90,-742.7922624488681
3bgz_97,-727.7302162423236
3bgz_998,-730.5654785405217
