#code,score
3rsx_121,-388.4782884308271
3rsx_131,-431.33940676391154
3rsx_132,-511.95011827905336
3rsx_172,-404.07071209235056
3rsx_173,-402.02916995958077
3rsx_218,-469.66721694656945
3rsx_230,-428.4993238710506
3rsx_243,-445.0672235396624
3rsx_249,-438.4902717744759
3rsx_266,-451.50862885166475
3rsx_375,-419.63058339292394
3rsx_388,-414.1436246291961
3rsx_408,-362.5094382026829
3rsx_423,-414.17680383197927
3rsx_434,-463.07623858954884
3rsx_450,-256.3077792658708
3rsx_464,-430.8422992000715
3rsx_470,-358.87512943008034
3rsx_474,-415.5574366482936
3rsx_487,-432.4404791682194
3rsx_494,-325.6317212550565
3rsx_497,-360.55143307739644
3rsx_505,-431.80536740895593
3rsx_506,-438.1959988153173
3rsx_515,-388.613860404238
3rsx_518,-276.62401641403204
3rsx_528,-437.6565364370968
3rsx_534,-300.8625741387605
3rsx_535,-293.15931354532046
3rsx_537,-320.2541470545432
3rsx_549,-298.8900364970486
3rsx_553,-345.4105141683766
3rsx_554,-367.01640198608015
3rsx_556,-358.89532410703373
3rsx_569,-309.50604774874375
3rsx_574,-283.7103513485731
3rsx_579,-293.3784109717151
3rsx_586,-239.51670638515367
3rsx_589,-316.3623042963638
3rsx_590,-317.6891139621773
3rsx_591,-359.15369703789736
3rsx_593,-267.3329059375086
3rsx_594,-399.3298902077176
3rsx_596,-324.77222202723846
3rsx_604,-487.90416093098986
3rsx_605,-484.3056873699505
3rsx_607,-427.8921887203466
3rsx_621,-502.8142522346877
3rsx_629,-486.0441238711538
3rsx_630,-435.74943834549657
3rsx_651,-392.90673808443324
3rsx_677,-373.1001656037507
3rsx_684,-427.8631477700738
3rsx_689,-432.9201544423188
3rsx_697,-416.6193731992481
3rsx_708,-304.52878038571134
3rsx_740,-265.6118465534019
3rsx_742,-386.7825273456762
3rsx_744,-296.32978849311434
3rsx_750,-333.13690726900126
3rsx_754,-414.76309354554763
3rsx_756,-250.4017630913646
3rsx_761,-313.77341802423854
3rsx_762,-242.4409047070149
3rsx_772,-331.02230355687817
3rsx_773,-268.85151988938503
3rsx_774,-392.56372420996394
3rsx_778,-331.2566752145782
3rsx_797,-346.6732321753739
3rsx_828,-403.3211072451899
3rsx_868,-398.3594825689515
3rsx_912,-339.6477901398557
3rsx_918,-338.7317888168989
3rsx_934,-274.721466153935
3rsx_936,-333.3247141704995
