#code,score
3zsx_113,-2762495.4440672807
3zsx_136,-3111366.148781447
3zsx_138,-2689820.8508001175
3zsx_175,-2923571.0199268404
3zsx_20,-2775624.486114687
3zsx_201,-2960847.772966598
3zsx_21,-2279113.6130502936
3zsx_210,-2693735.361352145
3zsx_213,-3036560.0401208075
3zsx_217,-3090577.0338975335
3zsx_226,-2712308.0110548944
3zsx_229,-3501915.1190186343
3zsx_230,-3449655.698851406
3zsx_231,-3706742.4727776484
3zsx_235,-3186667.708915104
3zsx_237,-3529563.0584621155
3zsx_240,-3349725.0045899455
3zsx_247,-3835676.9625283247
3zsx_253,-3691464.903737351
3zsx_254,-3493222.1633971315
3zsx_26,-2519155.7100169244
3zsx_262,-3175313.524717412
3zsx_274,-3570312.6051323423
3zsx_282,-3728143.439180736
3zsx_293,-3265996.8455856666
3zsx_3,-2636786.5123550445
3zsx_318,-2577578.501237593
3zsx_32,-2730317.578404295
3zsx_326,-2935101.6513277194
3zsx_329,-3958463.577020414
3zsx_337,-3303695.582426047
3zsx_345,-3751921.584992322
3zsx_359,-2947572.4363928265
3zsx_374,-2597178.25969359
3zsx_379,-3651383.500798066
3zsx_395,-2896746.1497764494
3zsx_4,-3073064.1755183125
3zsx_40,-2545452.0954665695
3zsx_408,12674941.576640833
3zsx_419,6238397.844726371
3zsx_436,9564225.209451308
3zsx_456,9982418.132620342
3zsx_46,-3335998.8025611336
3zsx_487,3402070.1798257157
3zsx_495,4098103.719969669
3zsx_51,-3039771.7308996688
3zsx_52,-2778912.1853749244
3zsx_524,-1535645.4326685665
3zsx_537,-2689171.669097162
3zsx_545,492266.56908694335
3zsx_556,-1264254.3880252556
3zsx_568,-677093.1357856627
3zsx_569,-1904304.8572842202
3zsx_576,1637176.3450729041
3zsx_582,-926050.0796941922
3zsx_585,1921268.5211608123
3zsx_586,2356042.18795414
3zsx_599,-2033687.7146554883
3zsx_608,-2475282.6377917756
3zsx_628,-598668.9356520032
3zsx_636,2753733.1311500687
3zsx_637,3766008.7870567944
3zsx_667,-736028.7082923182
3zsx_674,879335.7835408413
3zsx_677,-1459836.6475143533
3zsx_684,-401757.9859118384
3zsx_713,-3260571.603676881
3zsx_714,-3335689.6234679306
3zsx_74,-2834613.601356533
3zsx_741,-3323381.33207983
3zsx_749,-3485065.0480776196
3zsx_75,-2851422.3938827924
3zsx_759,-2926655.3641085303
3zsx_76,-3161855.8994686245
3zsx_773,-2978968.0178654334
3zsx_774,-3193069.932436145
3zsx_776,-2904060.6937916502
3zsx_780,-3168259.497179055
3zsx_79,-3256107.6457889304
3zsx_791,-2588625.472549573
3zsx_80,-2698555.9336482054
3zsx_859,-3222539.2100674585
3zsx_90,-3114206.0364094037
3zsx_908,-3333089.2274812446
3zsx_91,-2812326.40878236
3zsx_933,-3557169.996430289
3zsx_955,-3306530.052784299
3zsx_961,-3528505.9791846313
3zsx_965,-3212786.3234922057
3zsx_978,-3558736.2975203316
