#code,score
4cig_106,-229.84226281239174
4cig_114,-329.6096307868574
4cig_122,-295.06189325723807
4cig_129,-267.0387596532283
4cig_13,-325.0392995534095
4cig_131,-307.5512744799336
4cig_167,-275.5792752550546
4cig_169,-348.8533958278136
4cig_18,-335.61709926079266
4cig_203,-341.06135599410356
4cig_219,-341.24533026871484
4cig_22,-331.329089190612
4cig_241,-372.7984553763694
4cig_253,-332.54236750873594
4cig_265,-301.66313053337547
4cig_267,-341.16384157857146
4cig_285,-400.82116828233615
4cig_290,-390.0307427507776
4cig_298,-331.2425221683176
4cig_329,-317.77034321751165
4cig_342,-304.7240431804916
4cig_351,-322.9165489721785
4cig_369,-277.69316029281333
4cig_372,-337.41625277226257
4cig_386,-331.48964213676055
4cig_44,-359.72365656099294
4cig_454,529.5102216772166
4cig_480,348.7418298664029
4cig_510,-82.0343868667866
4cig_524,-221.3745163642735
4cig_540,-122.62411578641537
4cig_545,26.10909301678289
4cig_553,55.467118429789465
4cig_56,-282.585946472764
4cig_570,-192.92090614401368
4cig_575,310.47082608401263
4cig_589,-139.90835273293058
4cig_600,-208.18930183864765
4cig_601,663.3266038677507
4cig_639,-125.43624899554503
4cig_641,700.919808269848
4cig_645,22.82632598158565
4cig_656,171.87550824711155
4cig_669,-276.49803430448725
4cig_702,-328.3531674622019
4cig_707,-334.77119423171865
4cig_710,-345.21602393670827
4cig_716,-335.2926700062813
4cig_719,-338.90138677299734
4cig_738,-339.6296788348286
4cig_739,-328.79869778344624
4cig_750,-375.81982716824575
4cig_759,-321.60841566660343
4cig_762,-216.33431126094516
4cig_763,-320.9711298732537
4cig_766,-247.34428696431422
4cig_769,-294.9472045244004
4cig_770,-298.5419088599163
4cig_774,-255.2086495881054
4cig_780,-244.4122501644412
4cig_784,-396.9542905427302
4cig_786,-329.0386090982235
4cig_787,-340.01602271083027
4cig_788,-290.4579669926286
4cig_809,-346.53855280774906
4cig_83,-303.8140722464646
4cig_848,-333.62307497318454
4cig_851,-277.24967855715903
4cig_852,-367.33372393965954
4cig_860,-296.5882798512396
4cig_929,-306.0216217131799
4cig_947,-363.0806432154646
4cig_950,-349.2986903011981
4cig_956,-327.04287797918147
4cig_957,-280.00501414162153
4cig_98,-322.8064277904604
