#code,score
4w9l_10,-264.1441201368708
4w9l_100,-381.55015326981817
4w9l_12,-417.5375633709368
4w9l_136,-198.720484640037
4w9l_141,-229.4526595446107
4w9l_143,-91.41298654803575
4w9l_151,-273.80753819561403
4w9l_170,-424.18207277864985
4w9l_177,-383.5480304953278
4w9l_180,-367.7675134230075
4w9l_19,-380.8084432712602
4w9l_192,-161.1927997146945
4w9l_204,-439.6153545105468
4w9l_215,-457.63499313280425
4w9l_250,-457.75423365883273
4w9l_261,-285.6801473236153
4w9l_264,-460.18517414249277
4w9l_27,-281.5322919435557
4w9l_273,-254.10126146615931
4w9l_287,-416.68048463302654
4w9l_309,-277.9720248617317
4w9l_323,-354.0275772594875
4w9l_326,-364.6298976500454
4w9l_341,-312.27313318252794
4w9l_35,-438.83912042712547
4w9l_358,-266.9632016294958
4w9l_368,-462.1621998934785
4w9l_379,-289.8829687721595
4w9l_382,-310.2080811452186
4w9l_393,-241.1860657376169
4w9l_400,-234.42627005181637
4w9l_402,938.5824645547423
4w9l_403,836.6461901440829
4w9l_406,574.0252541101707
4w9l_407,-123.53060148206781
4w9l_410,590.7704879260128
4w9l_411,768.7176728389559
4w9l_430,139.88250786577703
4w9l_437,846.3997463958358
4w9l_441,471.67328063752217
4w9l_448,14.016073124362318
4w9l_450,241.16654346997794
4w9l_452,389.5562184540872
4w9l_456,104.36687523684621
4w9l_457,736.6850072739905
4w9l_462,166.17458854546436
4w9l_466,823.9694225678898
4w9l_475,886.9021045572192
4w9l_480,2054.295947263902
4w9l_481,383.99823517870755
4w9l_482,157.694579450699
4w9l_486,-165.950926128882
4w9l_492,410.384983742829
4w9l_493,314.1038640120466
4w9l_5,-254.24179114956766
4w9l_519,-84.02046818069631
4w9l_522,189.1848643849457
4w9l_527,-195.4005050284524
4w9l_53,-311.64517611498366
4w9l_545,333.72378596069893
4w9l_550,389.2165124964008
4w9l_556,-184.26078216684564
4w9l_557,142.10942514494712
4w9l_572,175.6930653131669
4w9l_573,938.0029006869629
4w9l_577,84.85606660944941
4w9l_579,-45.60902359521346
4w9l_591,204.64895853589087
4w9l_594,339.4436319928502
4w9l_596,880.8145976079212
4w9l_604,300.6510716829479
4w9l_612,385.70454027956964
4w9l_616,168.15846888971606
4w9l_642,40.97033137976817
4w9l_655,298.25779639115086
4w9l_657,-45.19670677994385
4w9l_659,139.82965447972916
4w9l_675,-154.65732053977035
4w9l_681,-148.60627575566153
4w9l_691,192.25216849657565
4w9l_696,-49.68195101000542
4w9l_699,-104.6597433938158
4w9l_704,-448.20447590489886
4w9l_708,-443.9060981871693
4w9l_709,-447.8436878561556
4w9l_715,-441.5795010010846
4w9l_719,-419.94933218421903
4w9l_732,-328.75091884586993
4w9l_759,-385.42021138372877
4w9l_762,-320.48409020953596
4w9l_770,-333.21087230220513
4w9l_779,-331.0055828469399
4w9l_787,-394.4750650403324
4w9l_822,-328.36001361376555
4w9l_84,-206.49423289869864
4w9l_871,-346.424093998323
4w9l_886,-339.82238410646886
4w9l_906,-433.1559026072378
4w9l_93,-332.5919364572226
4w9l_933,-429.15046601655735
