#code,score
2v7a_107,-15.806898672712402
2v7a_11,-15.806898672712402
2v7a_130,-15.806898672712402
2v7a_131,-15.806898672712402
2v7a_141,-15.806898672712402
2v7a_142,-15.806898672712402
2v7a_150,-15.806898672712402
2v7a_163,-15.806898672712402
2v7a_173,-15.806898672712402
2v7a_175,-15.806898672712402
2v7a_181,-15.806898672712402
2v7a_278,-15.806898672712402
2v7a_304,-15.806898672712402
2v7a_318,-15.806898672712402
2v7a_321,-15.806898672712402
2v7a_327,-15.806898672712402
2v7a_338,-15.806898672712402
2v7a_355,-15.806898672712402
2v7a_369,-15.806898672712402
2v7a_375,-15.806898672712402
2v7a_379,-15.806898672712402
2v7a_380,-15.806898672712402
2v7a_381,-15.806898672712402
2v7a_388,-15.806898672712402
2v7a_407,-15.806898672712402
2v7a_408,-15.806898672712402
2v7a_416,-27.886247363542
2v7a_419,-15.806898672712402
2v7a_423,-27.886247363542
2v7a_424,-15.806898672712402
2v7a_426,-27.886247363542
2v7a_429,-15.806898672712402
2v7a_431,-15.806898672712402
2v7a_434,-15.806898672712402
2v7a_441,-27.886247363542
2v7a_444,-15.806898672712402
2v7a_446,-15.806898672712402
2v7a_447,-15.806898672712402
2v7a_448,-15.806898672712402
2v7a_452,-15.806898672712402
2v7a_475,-15.806898672712402
2v7a_478,-23.28984183772757
2v7a_487,-15.806898672712402
2v7a_489,-15.806898672712402
2v7a_494,-27.886247363542
2v7a_495,-15.806898672712402
2v7a_496,-15.806898672712402
2v7a_498,-15.806898672712402
2v7a_514,-15.806898672712402
2v7a_522,-15.806898672712402
2v7a_523,-15.806898672712402
2v7a_530,-15.806898672712402
2v7a_536,-15.806898672712402
2v7a_548,-15.806898672712402
2v7a_550,-15.806898672712402
2v7a_555,-15.806898672712402
2v7a_557,-15.806898672712402
2v7a_561,-15.806898672712402
2v7a_568,-23.28984183772757
2v7a_572,-15.806898672712402
2v7a_583,-15.806898672712402
2v7a_591,-15.806898672712402
2v7a_592,-23.28984183772757
2v7a_594,-15.806898672712402
2v7a_600,-27.886247363542
2v7a_606,-23.28984183772757
2v7a_609,-15.806898672712402
2v7a_616,-15.806898672712402
2v7a_621,-15.806898672712402
2v7a_623,-15.806898672712402
2v7a_629,-15.806898672712402
2v7a_632,-15.806898672712402
2v7a_635,-15.806898672712402
2v7a_654,-15.806898672712402
2v7a_663,-23.28984183772757
2v7a_671,-15.806898672712402
2v7a_679,-27.886247363542
2v7a_684,-15.806898672712402
2v7a_688,-15.806898672712402
2v7a_690,-23.28984183772757
2v7a_693,-15.806898672712402
2v7a_698,-15.806898672712402
2v7a_7,-15.806898672712402
2v7a_733,-15.806898672712402
2v7a_737,-15.806898672712402
2v7a_743,-15.806898672712402
2v7a_744,-15.806898672712402
2v7a_784,-15.806898672712402
2v7a_789,-15.806898672712402
2v7a_820,-15.806898672712402
2v7a_845,-15.806898672712402
2v7a_856,-15.806898672712402
2v7a_859,-15.806898672712402
2v7a_886,-15.806898672712402
2v7a_889,-15.806898672712402
2v7a_973,-15.806898672712402
2v7a_981,-15.806898672712402
2v7a_983,-15.806898672712402
2v7a_985,-15.806898672712402
