#code,score
3ozs_10,-15.806898672712402
3ozs_103,-15.806898672712402
3ozs_107,-15.806898672712402
3ozs_11,-23.28984183772757
3ozs_110,-27.886247363542
3ozs_113,-15.806898672712402
3ozs_120,-27.886247363542
3ozs_123,-27.886247363542
3ozs_130,-15.806898672712402
3ozs_136,-15.806898672712402
3ozs_14,-15.806898672712402
3ozs_149,-27.886247363542
3ozs_162,-15.806898672712402
3ozs_201,-15.806898672712402
3ozs_221,-15.806898672712402
3ozs_224,-15.806898672712402
3ozs_24,-15.806898672712402
3ozs_251,-15.806898672712402
3ozs_255,-15.806898672712402
3ozs_269,-15.806898672712402
3ozs_273,-15.806898672712402
3ozs_275,-15.806898672712402
3ozs_28,-15.806898672712402
3ozs_307,-27.886247363542
3ozs_318,-15.806898672712402
3ozs_339,-27.886247363542
3ozs_345,-27.886247363542
3ozs_346,-15.806898672712402
3ozs_353,-27.886247363542
3ozs_373,-27.886247363542
3ozs_379,-15.806898672712402
3ozs_389,-15.806898672712402
3ozs_406,-15.806898672712402
3ozs_413,-15.806898672712402
3ozs_417,-15.806898672712402
3ozs_430,-27.886247363542
3ozs_431,-15.806898672712402
3ozs_432,-15.806898672712402
3ozs_439,-15.806898672712402
3ozs_44,-27.886247363542
3ozs_442,-27.886247363542
3ozs_443,-27.886247363542
3ozs_446,-15.806898672712402
3ozs_451,-15.806898672712402
3ozs_46,-15.806898672712402
3ozs_465,-27.886247363542
3ozs_478,-15.806898672712402
3ozs_479,-15.806898672712402
3ozs_48,-15.806898672712402
3ozs_480,-15.806898672712402
3ozs_484,-27.886247363542
3ozs_487,-15.806898672712402
3ozs_494,-15.806898672712402
3ozs_496,-15.806898672712402
3ozs_505,-15.806898672712402
3ozs_517,-15.806898672712402
3ozs_529,-15.806898672712402
3ozs_531,-15.806898672712402
3ozs_536,-15.806898672712402
3ozs_537,-27.886247363542
3ozs_542,-15.806898672712402
3ozs_546,-23.28984183772757
3ozs_550,-15.806898672712402
3ozs_554,-15.806898672712402
3ozs_558,-27.886247363542
3ozs_559,-15.806898672712402
3ozs_560,-15.806898672712402
3ozs_567,-27.886247363542
3ozs_574,-23.28984183772757
3ozs_575,-15.806898672712402
3ozs_585,-15.806898672712402
3ozs_586,-15.806898672712402
3ozs_593,-15.806898672712402
3ozs_596,-27.886247363542
3ozs_6,-15.806898672712402
3ozs_60,-27.886247363542
3ozs_611,-23.28984183772757
3ozs_63,-15.806898672712402
3ozs_646,-15.806898672712402
3ozs_649,-27.886247363542
3ozs_656,-27.886247363542
3ozs_659,-15.806898672712402
3ozs_664,-15.806898672712402
3ozs_666,-27.886247363542
3ozs_682,-15.806898672712402
3ozs_72,-15.806898672712402
3ozs_756,-15.806898672712402
3ozs_758,-15.806898672712402
3ozs_761,-15.806898672712402
3ozs_764,-15.806898672712402
3ozs_768,-15.806898672712402
3ozs_778,-15.806898672712402
3ozs_821,-15.806898672712402
3ozs_83,-15.806898672712402
3ozs_842,-15.806898672712402
3ozs_854,-15.806898672712402
3ozs_870,-15.806898672712402
3ozs_882,-15.806898672712402
3ozs_899,-15.806898672712402
3ozs_91,-23.28984183772757
