#code,score
1p1q_121,10.0
1p1q_134,10.0
1p1q_169,10.0
1p1q_202,10.0
1p1q_239,10.0
1p1q_255,10.0
1p1q_317,10.0
1p1q_357,10.0
1p1q_358,5.44
1p1q_394,10.0
1p1q_411,10.0
1p1q_412,10.0
1p1q_544,10.0
1p1q_559,10.0
1p1q_560,10.0
1p1q_570,7.37
1p1q_574,10.0
1p1q_578,10.0
1p1q_596,10.0
1p1q_603,10.0
1p1q_604,5.44
1p1q_614,10.0
1p1q_636,10.0
1p1q_640,10.0
1p1q_644,5.44
1p1q_646,8.0
1p1q_664,10.0
1p1q_677,10.0
1p1q_698,9.57
1p1q_713,10.0
1p1q_729,9.57
1p1q_736,8.19
1p1q_740,8.19
1p1q_746,9.57
1p1q_751,8.0
1p1q_759,8.19
1p1q_773,5.44
1p1q_779,9.57
1p1q_785,8.0
1p1q_789,8.0
1p1q_794,8.0
1p1q_848,10.0
1p1q_85,10.0
1p1q_853,10.0
1p1q_860,8.19
1p1q_872,9.57
1p1q_890,5.44
1p1q_892,9.57
1p1q_897,5.44
1p1q_975,10.0
