#code,score
3d6q_117,5.55
3d6q_123,5.44
3d6q_132,5.55
3d6q_140,5.44
3d6q_163,5.44
3d6q_207,5.55
3d6q_23,5.44
3d6q_248,5.44
3d6q_250,5.55
3d6q_259,5.44
3d6q_276,5.44
3d6q_289,5.44
3d6q_299,5.55
3d6q_312,5.55
3d6q_313,5.55
3d6q_320,5.55
3d6q_321,5.55
3d6q_338,5.44
3d6q_357,5.44
3d6q_367,5.55
3d6q_373,5.44
3d6q_404,5.44
3d6q_420,5.55
3d6q_433,5.55
3d6q_451,5.44
3d6q_454,5.55
3d6q_46,5.55
3d6q_491,5.44
3d6q_498,5.55
3d6q_50,5.44
3d6q_500,5.55
3d6q_528,5.44
3d6q_539,5.44
3d6q_546,5.55
3d6q_551,5.55
3d6q_563,5.55
3d6q_574,5.55
3d6q_581,5.55
3d6q_586,5.55
3d6q_592,5.55
3d6q_610,10.0
3d6q_614,5.55
3d6q_624,5.44
3d6q_654,5.55
3d6q_665,10.0
3d6q_671,5.44
3d6q_674,5.44
3d6q_679,10.0
3d6q_691,5.44
3d6q_698,10.0
3d6q_708,5.55
3d6q_710,10.0
3d6q_718,5.55
3d6q_724,5.44
3d6q_726,10.0
3d6q_729,5.44
3d6q_738,5.44
3d6q_750,5.44
3d6q_753,5.44
3d6q_754,5.44
3d6q_755,5.55
3d6q_756,5.55
3d6q_760,5.44
3d6q_776,10.0
3d6q_782,5.55
3d6q_80,5.44
3d6q_809,5.44
3d6q_810,5.44
3d6q_821,5.55
3d6q_822,5.44
3d6q_837,5.55
3d6q_839,5.44
3d6q_915,5.44
3d6q_953,5.55
3d6q_98,5.55
